"","L1EGH020933","L1EGH020934","L1EGH020935","L1EGH020936","L1EGH020937","L1EGH020938","L1EGH020939","L1EGH020941","L1HGH010557","L1HGH010558","L1HGH010559","L1HGH010560","L1HGH010561","L1HGH010562","L1HGH010563","L1HGH010564","L1HGH010565","L1HGH010566","L1EGH020932","L1EHE1100144","L1EHE1100145","L1EHE1100146","L1EHE1100147","L1EHE1100148","L1EHE1100149","L1EHE1100150","L1EHE1100151","L1EHE1100152","L1EHE1100153"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Grisebachstrassevirus.s__Bacillus_virus_vBBsuMGoe3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253164556962025,0,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Harbinvirus.s__Lactobacillus_virus_Bacchae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000401123144805455,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Harbinvirus.s__Lactobacillus_virus_Lpa804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49232037161909e-05,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Hopescreekvirus.s__Lactobacillus_virus_LfeInf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147080453007795,0,0,0,0.000584795321637427,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Kayvirus.s__Staphylococcus_virus_MCE2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00379746835443038,0,0,0,0,0.00279916025192442,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Mooreparkvirus.s__Lactobacillus_virus_Lb338.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147080453007795,0.00044762757385855,0,0,0,0.000802246289610911,0,0.000224769611148573,0.00139958012596221,0.00364630811303555,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Salchichonvirus.s__Lactobacillus_virus_LP65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588321812031181,0,0,0,0.000584795321637427,0,0,0.000224769611148573,0,0.00182315405651778,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Schiekvirus.s__Enterococcus_virus_EFDG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126582278481013,0,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Schiekvirus.s__Enterococcus_virus_EFP01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000294160906015591,0,0,0,0.000584795321637427,0,0,7.49232037161909e-05,0.00139958012596221,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Schiekvirus.s__Enterococcus_virus_EfV12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000292397660818713,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Sepunavirus.s__Staphylococcus_virus_SEP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164556962025316,0,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Shalavirus.s__Bacillus_virus_Shbh1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000802246289610911,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Tybeckvirus.s__Lactobacillus_virus_521B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000224769611148573,0,0.000911577028258888,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Tybeckvirus.s__Lactobacillus_virus_SAC12B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000441241359023386,0,0,0,0.000584795321637427,0,0,7.49232037161909e-05,0.00139958012596221,0.000911577028258888,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Watanabevirus.s__Lactobacillus_virus_3.521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000294160906015591,0,0,0.00126582278481013,0,0,0,0.000149846407432382,0.00419874037788663,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Wphvirus.s__Bacillus_virus_BPS10C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000882482718046772,0,0.00133511348464619,0,0.00204678362573099,0.00200561572402728,0,0,0,0.00182315405651778,0.00432276657060519
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Wphvirus.s__Bacillus_virus_WPh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111906893464637,0,0.00379746835443038,0.000292397660818713,0,0,0,0,0.00273473108477666,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.s__Brochothrix_virus_A9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49053510210165e-05,0,0.00139958012596221,0.000911577028258888,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Acajnonavirus.s__Acinetobacter_virus_Acj9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000292397660818713,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Agricanvirus.s__Erwinia_virus_SpecialG",0,0,0,0,0,0,9.64675342898235e-05,0,0,0,0,0,0,0,0,0,0,0,0.00161788498308575,0,0,0.00759493670886076,0,0,0,0.000224769611148573,0.000699790062981106,0.000911577028258888,0.00720461095100865
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Alcyoneusvirus.s__Klebsiella_virus_K64.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223813786929275,0,0,0,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Alexandravirus.s__Dickeya_virus_AD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00292397660818713,0,0,0,0,0.0282588878760255,0.015850144092219
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Anamdongvirus.s__Lactobacillus_virus_LBR48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000802246289610911,0,0,0,0,0.00144092219020173
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Asteriusvirus.s__Escherichia_virus_PBECO4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147080453007795,0.00156669650850492,0,0,0.00087719298245614,0.00160449257922182,0,7.49232037161909e-05,0,0.000911577028258888,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Baikalvirus.s__Pseudomonas_virus_PaBG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49232037161909e-05,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Brigitvirus.s__Faecalibacterium_virus_Brigit",0.000914310792524595,0,2.80415107831293e-05,0,0,0.000815945914442243,0.000192935068579647,0.000849483503139277,0.00478040035853003,0,0.000904640272456364,0,0.0354505169867061,0.00451702571230021,0,0.0237154150197628,0.00518941359626362,0.00741374394069005,0.01867921753199,0.0105192479856759,0.0173564753004005,0.00632911392405063,0.0286549707602339,0.0236662655435219,7.45267551050827e-05,0.00254738892635049,0.0111966410076977,0.0820419325432999,0.0561959654178674
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Busanvirus.s__Acidovorax_virus_ACP17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147080453007795,0,0,0,0,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Ceceduovirus.s__Aeromonas_virus_CC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000401123144805455,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Certrevirus.s__Cronobacter_virus_CR9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00144092219020173
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Chiangmaivirus.s__Ralstonia_virus_RSL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588321812031181,0,0,0,0.00146198830409357,0,1.49053510210165e-05,0,0.000699790062981106,0.000911577028258888,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Cymopoleiavirus.s__Synechococcus_phage_S.RSM4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354430379746835,0.00087719298245614,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Derbicusvirus.s__Cronobacter_phage_CR5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98107020420331e-05,0.000149846407432382,0,0,0.00144092219020173
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Dhakavirus.s__Escherichia_virus_MX01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087719298245614,0.00120336943441637,1.49053510210165e-05,7.49232037161909e-05,0,0,0.00144092219020173
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Donellivirus.s__Bacillus_virus_G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000441241359023386,0,0.00400534045393859,0,0.00146198830409357,0.000802246289610911,1.49053510210165e-05,0.000149846407432382,0.00209937018894332,0,0.00288184438040346
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Eneladusvirus.s__Yersinia_virus_Yen9.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000895255147717099,0.00267022696929239,0.00126582278481013,0,0.000802246289610911,0,0,0.000699790062981106,0.00273473108477666,0.00144092219020173
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Eponavirus.s__Faecalibacterium_virus_Epona",0.000365724317009838,0,2.57047182178685e-05,0,0,0,0.000359560809625706,0.000255934132356064,0.00358530026889752,0,0.0014367816091954,0,0.069423929098966,0,0,0.0197628458498024,0.0041515308770109,0.0108354719133162,0.00235328724812472,0.0035810205908684,0.0160213618157543,0.0164556962025316,0.00818713450292398,0.0100280786201364,4.47160530630496e-05,0.000374616018580955,0.00629811056682995,0.0200546946216955,0.0446685878962536
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Eurybiavirus.s__Prochlorococcus_phage_P.HM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223813786929275,0,0,0,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Firehammervirus.s__Campylobacter_virus_CP21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000401123144805455,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Firehammervirus.s__Campylobacter_virus_CPt10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000911577028258888,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Gaprivervirus.s__Escherichia_virus_VR20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120336943441637,0,0.000149846407432382,0.00139958012596221,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Gaprivervirus.s__Escherichia_virus_VR26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126582278481013,0,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Gelderlandvirus.s__Salmonella_phage_vB_SnwM_CGG4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000292397660818713,0.000401123144805455,1.49053510210165e-05,7.49232037161909e-05,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Goslarvirus.s__Escherichia_virus_Goslar",0,0.000314007593274528,0,0,0,0,0.000324481706247588,0,0,0,0,0,0.0147710487444609,0,0,0,0,0,0.00117664362406236,0,0,0,0,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Hapunavirus.s__Vibrio_virus_VP882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044762757385855,0,0,0,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Heilongjiangvirus.s__Lactobacillus_virus_Lb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588321812031181,0,0,0,0.00116959064327485,0.00200561572402728,0,0.000899078444594291,0.00349895031490553,0.00273473108477666,0.00144092219020173
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Iapetusvirus.s__Erwinia_virus_EaH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087719298245614,0,0,0,0,0.00182315405651778,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Ishigurovirus.s__Aeromonas_virus_65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223813786929275,0,0.00253164556962025,0,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Jiaodavirus.s__Klebsiella_phage_KP179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000441241359023386,0,0,0,0.00380116959064327,0.0036101083032491,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Jiaodavirus.s__Klebsiella_virus_JD18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49232037161909e-05,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Jiaodavirus.s__Klebsiella_virus_PKO111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722021660649819,0,0.000224769611148573,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Jilinvirus.s__Escherichia_virus_ep3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223813786929275,0,0,0,0,2.98107020420331e-05,7.49232037161909e-05,0.00489853044086774,0,0.00144092219020173
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Kanaloavirus.s__Synechococcus_virus_S.PRM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000699790062981106,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Klausavirus.s__Arthrobacter_virus_ArV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288184438040346
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Klausavirus.s__Arthrobacter_virus_KBurrousTX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000895255147717099,0,0,0,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Klausavirus.s__Arthrobacter_virus_PrincessTrina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00182315405651778,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Kolesnikvirus.s__Erwinia_virus_Ea214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087719298245614,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Krischvirus.s__Escherichia_virus_KFS.EC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000292397660818713,0,1.49053510210165e-05,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Kungbxnavirus.s__Tenacibaculum_virus_pT24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147080453007795,0.000223813786929275,0.0133511348464619,0.00126582278481013,0,0.000401123144805455,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Lasallevirus.s__Acinetobacter_virus_Acj61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147080453007795,0.000223813786929275,0,0,0,0,0,0,0,0,0.00144092219020173
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Lazarusvirus.s__Acinetobacter_virus_Kimel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223813786929275,0,0.00379746835443038,0.000584795321637427,0.000802246289610911,0,7.49232037161909e-05,0,0.000911577028258888,0.00144092219020173
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Libanvirus.s__Synechococcus_phage_S.WAM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000292397660818713,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Llyrvirus.s__Synechococcus_virus_SSKS1",0.000402296748710822,0,6.77669843925625e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000294160906015591,0.00044762757385855,0.00133511348464619,0,0.000292397660818713,0.000401123144805455,5.96214040840662e-05,0,0.00209937018894332,0.000911577028258888,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Mazuvirus.s__Synechococcus_virus_SCAM7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223813786929275,0,0,0,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Metrivirus.s__Acinetobacter_virus_ME3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000292397660818713,0,1.49053510210165e-05,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Mimasvirus.s__Cronobacter_virus_GAP32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116959064327485,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Moabitevirus.s__Serratia_virus_2050HW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000401123144805455,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Muldoonvirus.s__Serratia_virus_Muldoon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044762757385855,0,0,0.00146198830409357,0.00160449257922182,7.45267551050827e-05,0.000224769611148573,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Myoalterovirus.s__Alteromonas_virus_PT11.V22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49232037161909e-05,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Myohalovirus.s__Halobacterium_virus_phiH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126582278481013,0,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Naesvirus.s__Xanthomonas_virus_OP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000292397660818713,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Nankokuvirus.s__Pseudomonas_virus_Ab03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00182315405651778,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Nereusvirus.s__Synechococcus_virus_ACG2014bSyn7803C61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267022696929239,0,0,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Nerrivikvirus.s__Synechococcus_virus_SRIM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044762757385855,0,0,0,0.00320898515844364,0,0,0.000699790062981106,0,0.00144092219020173
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Phabquatrovirus.s__Bordetella_virus_PHB04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133511348464619,0,0,0,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Phikzvirus.s__Pseudomonas_phage_201phi2.1",0,0,0,0,0,0,0,0,0,0,0.000319284802043423,0,0,0,0,0,0,0,0,0,0.00267022696929239,0,0,0,0,0.000149846407432382,0,0.000911577028258888,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Polybotosvirus.s__Agrobacterium_virus_Atuph07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00144092219020173
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Risingsunvirus.s__Erwinia_virus_Risingsun",0,0,0,0,0,0,0,0,0,0,0,0,0.0192023633677991,0,0,0,0,0,0.000735402265038976,0.000223813786929275,0.00267022696929239,0,0,0.00160449257922182,0,0,0.000699790062981106,0,0.00144092219020173
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Ronodorvirus.s__Prochlorococcus_virus_PSSM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147080453007795,0,0,0,0.000292397660818713,0.000802246289610911,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Saclayvirus.s__Acinetobacter_phage_vB_AbaM_Acibel004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147080453007795,0,0,0,0,0,0,0,0,0.00273473108477666,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Saclayvirus.s__Acinetobacter_phage_vB_AbaM_phiAbaA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000401123144805455,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Saclayvirus.s__Acinetobacter_virus_Aci05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267022696929239,0,0,0.000401123144805455,0,0,0,0,0
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Salacisavirus.s__Prochlorococcus_virus_PSSM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139958012596221,0,0
