"","L1EGH020933","L1EGH020934","L1EGH020935","L1EGH020936","L1EGH020937","L1EGH020938","L1EGH020939","L1EGH020941","L1HGH010557","L1HGH010558","L1HGH010559","L1HGH010560","L1HGH010561","L1HGH010562","L1HGH010563","L1HGH010564","L1HGH010565","L1HGH010566","L1EGH020932","L1EHE1100144","L1EHE1100145","L1EHE1100146","L1EHE1100147","L1EHE1100148","L1EHE1100149","L1EHE1100150","L1EHE1100151","L1EHE1100152","L1EHE1100153"
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Hyphomicrobiaceae.g__Filomicrobium",3.263646e-06,0,4.485294e-06,0,8.100398e-06,5.105487e-06,3.048388e-06,1.428087e-05,3.162541e-06,0.0001312108,6.901519e-06,3.181998e-05,7.031935e-06,1.254678e-06,0,0,0,0,2.384158e-06,8.080638e-07,7.302797e-06,7.218679e-07,1.151932e-05,5.548703e-05,9.489703e-06,3.733352e-05,1.722668e-05,1.16505e-05,7.932105e-06
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Hyphomicrobiaceae.g__Hyphomicrobium",1.9377896e-05,6.380273e-05,4.8522728e-05,2.473452e-05,4.0299479e-05,2.3134235e-05,5.715728e-05,6.096832e-05,3.0187888e-05,0.000161616183,5.2763225e-05,4.7578451e-05,3.5745667e-05,1.5526636e-05,9.4047808e-06,5.683635e-05,1.6770445e-05,2.6108526e-05,6.914059e-05,2.1413689e-05,4.0165393e-05,2.6709112e-05,7.474758e-05,7.9503808e-05,3.1722725e-05,8.5101884e-05,4.1870392e-05,4.6287122e-05,5.0932463e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Hyphomicrobiaceae.g__Methyloceanibacter",7.547181e-06,9.304564e-06,1.50869e-05,0,5.569023e-06,1.0210973e-05,8.687906e-06,3.1124969e-05,1.322517e-05,4.677748e-06,1.2022e-05,1.969809e-06,2.4611772e-05,3.8424505e-06,1.3435401e-06,2.005989e-05,1.0916611e-05,6.464968e-06,2.3245547e-05,1.1312894e-05,2.190839e-05,1.8768567e-05,1.9198868e-05,9.385866e-06,4.0670161e-06,1.1594262e-05,5.981485e-06,1.2910015e-05,1.586421e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Hyphomicrobiaceae.g__Methyloligella",1.060685e-05,1.329223e-05,1.141711e-05,7.978878e-06,2.632629e-05,2.457015e-05,1.691855e-05,4.760289e-05,6.900089e-06,0.0001482846,9.350445e-06,4.697236e-05,1.494286e-05,3.136694e-06,1.226711e-06,1.337326e-05,8.068799e-06,9.946105e-06,2.940462e-05,9.292734e-06,2.312552e-05,2.165604e-05,1.6895e-05,2.760549e-05,6.77836e-06,5.194229e-05,3.086446e-05,3.274736e-05,2.964102e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Hyphomicrobiaceae.g__Rhodomicrobium",1.93779e-05,7.37719e-05,3.425134e-05,1.196832e-05,1.518825e-05,6.062765e-06,3.246534e-05,3.442055e-05,1.408768e-05,1.988043e-05,2.560241e-05,1.348561e-05,2.636975e-05,1.113526e-05,3.037569e-06,2.786096e-05,2.02511e-05,1.641107e-05,6.556435e-05,5.333221e-05,1.825699e-05,7.218679e-06,4.812515e-05,2.374072e-05,5.964956e-06,1.600008e-05,6.699263e-06,1.479929e-05,1.502925e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Hyphomicrobiaceae.g__Rhodoplanes",1.121878e-05,3.455981e-05,2.120321e-05,2.234086e-05,1.863092e-05,1.116825e-05,2.392985e-05,5.309553e-05,7.475096e-06,1.309769e-05,1.513882e-05,7.273139e-06,1.992381e-05,1.811441e-05,7.068189e-06,1.44877e-05,8.859858e-06,1.268128e-05,6.139207e-05,1.454515e-05,2.312552e-05,1.010615e-05,3.916568e-05,1.297458e-05,5.20578e-05,1.808705e-05,2.105483e-05,2.707954e-05,2.421379e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Kaistiaceae.g__Kaistia",7.751158e-06,3.854748e-05,3.343583e-05,2.313875e-05,1.93397e-05,7.817776e-06,3.292259e-05,9.081167e-05,8.337608e-06,5.37941e-06,1.135411e-05,5.151807e-06,2.16818e-05,7.292814e-06,2.745495e-06,2.34032e-05,1.582118e-05,1.317859e-05,6.02e-05,8.48467e-06,4.138252e-05,1.876857e-05,4.326144e-05,2.898576e-05,1.165878e-05,1.437688e-05,9.091857e-06,2.078198e-05,2.254388e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Lichenihabitantaceae.g__Lichenihabitans",1.142276e-05,0,2.5280744e-05,0,3.3414138e-05,1.9943306e-05,2.0576624e-05,2.728012e-05,5.750074e-06,0.00016606004,8.459926e-06,0,1.6407847e-05,6.587057e-06,3.329643e-06,0,3.63887e-06,8.702841e-06,3.15901e-05,1.0100798e-05,1.9474123e-05,9.384282e-06,2.20147e-05,3.0366036e-05,8.676301e-06,7.0725e-05,3.780299e-05,2.4560518e-05,3.590321e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Methylobacteriaceae.g__Methylobacterium",0.000237838176,0.000406077742,0.001589017682,0.000233781138,0.001616839743,0.000529375176,0.00128596261,0.00065527213,0.000175664778,0.000999868564,0.000256024064,0.000501088977,0.0003111631,0.000193769271,8.50519342e-05,0.00027192293,0.000374645412,0.000211354727,0.000634384708,0.0002250457788,0.000451556289,0.000272866071,0.000562398722,0.000338443318,0.0001583424818,0.00055397381,0.000308405365,0.000340383556,0.000364876818
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Methylobacteriaceae.g__Methylorubrum",4.9974581e-05,7.443651e-05,0.00012558823,0.0001180874,9.690101e-05,5.4245798e-05,0.00013915892,0.00015928659,5.7500744e-05,9.5192163e-05,9.0832885e-05,6.697349e-05,0.00012100788,4.618782e-05,2.108774e-05,0.00013707591,8.274475e-05,5.992528e-05,0.000155168963,7.47459e-05,0.000138753153,7.6517996e-05,0.00013592796,7.1774272e-05,3.0909318e-05,0.000106667213,6.7949666e-05,9.0999862e-05,0.00010311736
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Methylobacteriaceae.g__Microvirga",4.0387615e-05,9.371025e-05,7.135695e-05,5.2660596e-05,9.619223e-05,6.6690418e-05,9.96823e-05,0.00026511149,4.9450635e-05,0.000105249318,8.860659e-05,9.2580998e-05,9.903309e-05,2.775974e-05,2.2080785e-05,8.46973e-05,9.809128e-05,4.8735918e-05,0.00016291748,5.4544311e-05,0.00010223916,5.9915031e-05,0.00011186538,9.7999478e-05,8.1340311e-05,0.00018342122,7.2495605e-05,8.060887e-05,9.6437695e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Methylocystaceae.g__Methylocystis",2.0805741e-05,6.180889e-05,8.562834e-05,3.3511294e-05,6.9562163e-05,3.1111555e-05,7.407584e-05,0.00018235569,3.6512975e-05,6.9932322e-05,4.7642738e-05,3.5608083e-05,5.9185453e-05,2.5093551e-05,1.1799787e-05,3.343315e-05,3.0376657e-05,3.2573492e-05,0.00011404222,2.5049979e-05,5.7205247e-05,2.1656039e-05,0.000101625979,8.3920697e-05,2.81979844e-05,7.6058357e-05,4.0434849e-05,5.5733477e-05,8.266088e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Methylocystaceae.g__Methylosinus",1.958187e-05,4.585821e-05,5.545455e-05,2.4734524e-05,4.870364e-05,2.2176954e-05,3.459921e-05,7.982639e-05,2.961288e-05,8.677222e-05,4.8088001e-05,7.106463e-05,3.574567e-05,2.525039e-05,1.6122481e-05,4.792085e-05,4.857101e-05,2.4616611e-05,8.78165e-05,9.696766e-06,3.529685e-05,1.6602962e-05,8.805879e-05,3.616319e-05,2.3859828e-05,5.240606e-05,3.0385946e-05,3.306223e-05,4.717515e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Parvibaculaceae.g__Candidatus_Phaeomarinobacter",0,6.646117e-06,8.15508e-06,0,8.302908e-06,4.467301e-06,1.295565e-05,9.886755e-06,0,0,2.226296e-06,0,9.375913e-06,0,0,0,0,2.735179e-06,5.165676e-06,2.828223e-06,6.085664e-06,1.443736e-06,1.023939e-05,5.521098e-06,1.626806e-06,4.637705e-06,2.631853e-06,1.16505e-05,1.00195e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Parvibaculaceae.g__Kaustia",1.366652e-05,2.126757e-05,2.283422e-05,1.755353e-05,3.311038e-05,1.388054e-05,3.353227e-05,4.558892e-05,1.322517e-05,1.075882e-05,1.513882e-05,3.424436e-05,2.13888e-05,1.301728e-05,5.724649e-06,1.894545e-05,2.721242e-05,1.46705e-05,4.132541e-05,1.77774e-05,2.799406e-05,1.227175e-05,4.044561e-05,1.877173e-05,1.301445e-05,3.107262e-05,1.148445e-05,1.637368e-05,2.337883e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Parvibaculaceae.g__Parvibaculum",3.936773e-05,5.250432e-05,3.629011e-05,1.595776e-05,2.683257e-05,3.557886e-05,2.621614e-05,6.005288e-05,2.990039e-05,0.0002624216,4.252226e-05,4.954826e-05,4.541458e-05,9.723751e-06,2.745495e-06,3.454759e-05,1.328979e-05,2.685448e-05,6.457095e-05,5.131205e-05,3.773112e-05,4.908702e-05,8.4475e-05,5.300254e-05,7.320628e-06,5.263795e-05,1.961927e-05,2.519027e-05,3.381581e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Parvibaculaceae.g__Pyruvatibacter",9.179003e-06,6.24735e-05,2.120321e-05,1.356409e-05,8.100398e-06,6.062765e-06,4.343953e-05,5.108157e-05,1.667522e-05,2.151764e-05,3.628863e-05,1.863742e-05,2.724875e-05,1.066476e-05,4.790013e-06,4.123422e-05,2.483924e-05,1.069206e-05,5.12594e-05,1.616128e-05,1.582273e-05,1.443736e-05,6.450819e-05,2.539705e-05,0.0002798107,2.133344e-05,1.196297e-05,2.141173e-05,2.379631e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Phreatobacteraceae.g__Phreatobacter",2.9372816e-05,0.000124947,8.318182e-05,8.138456e-05,0.0001079378,4.6906654e-05,9.175649e-05,0.00016752556,3.2487915e-05,0.00030943303,5.521215e-05,0.00012424947,5.7720461e-05,4.2423789e-05,2.1262984e-05,9.695613e-05,6.138617e-05,5.022783e-05,0.00012715511,4.1615285e-05,7.789651e-05,4.0424602e-05,0.00013080826,9.855159e-05,0.00019169205,0.00017437774,9.426821e-05,6.958813e-05,0.0001143893
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Phyllobacteriaceae.g__Aminobacter",5.690982e-05,0.00011032554,0.00013292781,2.553241e-05,7.928265e-05,4.435391e-05,0.000106083911,0.00018565128,5.922577e-05,0.000114137,4.831063e-05,3.591113e-05,0.000129797797,1.207627e-05,2.1204571e-05,0,1.21823e-05,2.014086e-05,0.000101326713,4.4847538e-05,9.8587764e-05,4.1868336e-05,0.00012466463,9.8551602e-05,3.877222e-05,5.1246645e-05,4.2588178e-05,4.5657367e-05,5.635969e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Phyllobacteriaceae.g__Hoeflea",1.5706294e-05,7.310729e-06,3.425134e-05,8.776766e-06,2.1972333e-05,1.0689612e-05,2.652098e-05,6.243302e-05,1.0637637e-05,9.589383e-06,1.781037e-05,1.3334091e-05,1.6407847e-05,4.391372e-06,4.0306204e-06,1.783101e-05,2.3573552e-05,1.3427241e-05,3.159009e-05,1.7777403e-05,1.8256997e-05,9.384283e-06,2.3038635e-05,3.11942e-05,4.609284e-06,4.452197e-05,1.1484452e-05,1.5429042e-05,1.2524376e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Phyllobacteriaceae.g__Lentilitoribacter",4.691491e-06,1.595068e-05,1.712567e-05,0,0,2.23365e-06,7.468551e-06,6.041906e-06,0,4.911635e-06,5.565741e-06,1.818285e-06,4.394959e-06,0,0,0,2.373176e-06,2.983831e-06,9.139273e-06,6.464511e-06,6.085664e-06,1.443736e-06,1.407917e-05,1.352669e-05,1.220105e-05,4.637705e-06,3.588891e-06,4.093419e-06,1.669917e-06
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Phyllobacteriaceae.g__Mesorhizobium",0.000375931181,0.000690531559,0.00103528746,0.00031277202,0.000902991887,0.000455983773,0.00088692856,0.001745012138,0.000436143121,0.001843266535,0.000714195859,0.000713676812,0.000725754255,0.000256032638,0.0001198087288,0.00047586514,0.000532857162,0.000424450035,0.001310690987,0.0004141327148,0.000876335656,0.0003955836089,0.001161915272,0.000862395433,0.0005400996531,0.001100295431,0.000534505514,0.000660614897,0.000768579189
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Phyllobacteriaceae.g__Nitratireductor",2.5497234e-05,4.3864369e-05,7.339572e-05,2.712819e-05,3.7160574e-05,2.5367886e-05,5.898631e-05,7.689698e-05,2.9037879e-05,7.7884496e-05,5.4544264e-05,2.3789229e-05,4.4828586e-05,1.0664759e-05,4.906842e-06,4.234866e-05,1.5030117e-05,3.3816759e-05,8.48363e-05,4.5251576e-05,5.3553844e-05,3.6093395e-05,6.118039e-05,4.306456e-05,0.000104657875,5.9362619e-05,2.8711128e-05,3.3377107e-05,5.009749e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Phyllobacteriaceae.g__Oricola",5.71138e-06,2.126757e-05,1.019385e-05,2.074508e-05,3.624928e-05,1.946467e-05,1.905243e-05,2.398453e-05,1.236266e-05,3.274423e-05,9.350445e-06,4.106293e-05,1.963082e-05,8.233822e-06,6.717701e-06,1.671657e-05,3.464837e-05,1.019476e-05,1.589439e-05,8.080638e-06,2.799406e-05,8.662415e-06,6.09244e-05,7.260244e-05,1.545466e-05,4.568139e-05,9.809636e-06,7.87196e-05,5.21849e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Phyllobacteriaceae.g__Phyllobacterium",1.0606848e-05,4.187053e-05,6.605615e-05,3.031974e-05,2.997148e-05,1.6273739e-05,4.603066e-05,5.858817e-05,1.7825229e-05,1.4501017e-05,1.6029334e-05,1.3334091e-05,2.549076e-05,8.547491e-06,5.549404e-06,3.343315e-05,2.2940705e-05,1.5665112e-05,9.099538e-05,1.6969337e-05,2.555979e-05,2.382164e-05,8.831477e-05,4.002796e-05,2.141962e-05,2.4116065e-05,1.1245192e-05,1.9837341e-05,3.423329e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Phyllobacteriaceae.g__Roseitalea",4.487513e-06,1.993835e-05,2.609626e-05,7.978878e-06,1.255562e-05,5.743672e-06,1.005968e-05,3.112497e-05,6.037578e-06,1.146048e-05,6.678889e-06,2.591056e-05,9.375913e-06,1.184102e-05,4.322694e-06,2.005989e-05,3.512301e-05,3.481137e-06,4.748448e-05,1.171693e-05,2.555979e-05,2.887472e-06,8.012326e-05,2.981393e-05,1.355672e-05,1.715951e-05,1.220223e-05,2.015222e-05,1.878656e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Phyllobacteriaceae.g__Salaquimonas",2.447734e-06,0,1.590241e-05,0,7.290358e-06,6.860498e-06,5.487099e-06,1.812572e-05,4.600059e-06,8.88772e-06,9.795704e-06,2.727427e-06,1.289188e-05,0,0,1.44877e-05,2.214965e-06,7.708231e-06,1.609307e-05,6.060479e-06,2.799406e-05,8.662415e-06,3.071818e-05,1.40788e-05,5.693822e-06,9.507295e-06,3.349632e-06,4.849128e-05,4.717515e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Pleomorphomonadaceae.g__Hartmannibacter",1.264663e-05,2.791369e-05,3.180481e-05,1.595776e-05,2.187107e-05,1.451873e-05,2.941695e-05,5.840509e-05,1.150015e-05,6.782734e-06,2.248559e-05,7.727711e-06,2.314678e-05,2.430938e-06,1.810858e-06,0,1.724508e-05,1.665973e-05,3.635841e-05,1.535321e-05,1.338846e-05,8.662415e-06,2.227068e-05,1.95999e-05,1.897941e-06,1.57682e-05,7.177782e-06,1.353977e-05,1.669917e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Rhizobiaceae.g__Agrobacterium",0.000213972765,0.0003642072,0.000543943842,0.000179524756,0.000324117184,0.000163535117,0.000363825175,0.00083543075,0.000223102871,0.000444619941,0.000342181734,0.000172282496,0.00038910039,8.6180672e-05,5.0704038e-05,0.00060959781,0.000218332262,0.000212846644,0.000575575548,0.0002763578177,0.000435733524,0.000178301365,0.000469476234,0.0004071809907,0.0002085023488,0.0004329297295,0.0001710704678,0.0002399373534,0.000290982997
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Rhizobiaceae.g__Ciceribacter",1.223867e-05,1.860913e-05,2.528075e-05,1.436198e-05,1.285938e-05,8.136869e-06,2.804517e-05,3.496982e-05,6.612585e-06,7.718284e-06,7.792037e-06,0,1.611485e-05,3.528781e-06,1.168296e-06,1.783101e-05,9.334493e-06,4.475747e-06,2.125874e-05,1.212096e-05,2.312552e-05,1.227175e-05,1.971083e-05,1.269852e-05,1.165878e-05,9.971065e-06,5.024448e-06,8.186839e-06,1.294185e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Rhizobiaceae.g__Ensifer",6.4049039e-05,0.0001588422,0.00020102274,5.3458484e-05,0.000112291768,4.6428017e-05,0.000142512147,0.00023343726,6.0088276e-05,0.000270841601,8.7048194e-05,0.000140614022,0.00013389975,3.6385651e-05,2.3073842e-05,0.00017496681,0.000109482523,6.4649689e-05,0.00021973991,7.5553969e-05,0.000158227244,7.2908654e-05,0.00020606782,0.000138579557,5.8836163e-05,0.00016301532,6.1489664e-05,9.8242067e-05,9.017551e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Rhizobiaceae.g__Georhizobium",9.994915e-06,2.060296e-05,1.223262e-05,0,6.176553e-06,9.253694e-06,1.768065e-05,1.061911e-05,8.050104e-06,1.216214e-05,1.959141e-05,3.333522e-06,2.285379e-05,5.959719e-06,4.381109e-06,2.451764e-05,7.752376e-06,1.516781e-05,1.649043e-05,2.343385e-05,2.069126e-05,2.093417e-05,2.636644e-05,1.325063e-05,7.320628e-06,7.652213e-06,5.263707e-06,7.242204e-06,1.043698e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Rhizobiaceae.g__Liberibacter",1.3054583e-05,7.97534e-06,8.60361e-05,8.776766e-06,2.025099e-06,7.339137e-06,0,9.154402e-06,1.351267e-05,5.847185e-06,2.3153486e-05,2.272856e-06,9.375913e-06,9.410082e-07,0,5.795079e-05,1.0916611e-05,1.2432631e-05,2.06627067e-05,2.9090294e-05,6.694231e-05,1.082802e-05,2.5086518e-05,2.8985764e-05,1.22010485e-05,2.3420407e-05,7.656301e-06,2.6449786e-05,1.83690854e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Rhizobiaceae.g__Neorhizobium",3.9775682e-05,0.00018476209,0.00018063502,6.3831026e-05,9.9938658e-05,5.3767164e-05,9.6633913e-05,0.00018363732,4.62881e-05,0.000390591973,6.1891038e-05,0.00010803643,0.000108408989,1.9133834e-05,1.0047344e-05,0.00012704597,7.562523e-05,5.5698184e-05,0.00015179141,5.8180603e-05,8.641643e-05,3.8259004e-05,0.00018661296,0.000128641577,7.971351e-05,0.000155594992,7.2974126e-05,6.8328616e-05,9.309786e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Rhizobiaceae.g__Peteryoungia",2.651712e-06,1.528607e-05,2.201872e-05,0,1.650456e-05,6.860498e-06,1.737581e-05,3.405438e-05,5.750074e-06,3.742198e-06,1.781037e-05,3.181998e-06,1.230589e-05,2.274103e-06,2.920739e-06,0,5.695623e-06,9.448799e-06,1.907327e-05,8.888702e-06,1.09542e-05,1.010615e-05,2.687841e-05,8.005592e-06,1.843714e-05,2.782623e-05,6.460004e-06,7.242204e-06,1.461177e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Rhizobiaceae.g__Pseudorhizobium",0,0,2.528075e-05,0,3.240159e-05,2.121968e-05,1.2041134e-05,1.812572e-05,0,0.000417489,1.313515e-05,9.773281e-05,2.256079e-05,1.568347e-06,1.285125e-06,0,0,9.200147e-06,1.6093068e-05,1.696934e-05,1.947413e-05,1.8046698e-05,4.0445608e-05,7.0117938e-05,1.626806e-05,0.000137739865,4.95267e-05,3.117296e-05,4.3417834e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Rhizobiaceae.g__Rhizobium",0.000435288729,0.00110923691,0.001224893018,0.000580064446,0.000827050622,0.000455026494,0.000902627757,0.001872807613,0.000499968939,0.002479907875,0.000904989477,0.000856109145,0.000956929102,0.000206472871,0.0001060812504,0.00079459452,0.000509758253,0.000536343744,0.0015373847424,0.000519585033,0.001047951352,0.0004504455549,0.001797013656,0.001337209831,0.0011951603535,0.0013062095657,0.0005833144248,0.0008186839194,0.0009418330874
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Rhizobiaceae.g__Shinella",0.00011728726,0.00011165476,0.00023649729,4.228806e-05,0.00016767823,9.142012e-05,0.00018534201,0.00025485855,6.3825819e-05,0.00019342487,0.00011487689,0.00010652119,0.00020158214,4.5403649e-05,2.5352017e-05,8.581175e-05,9.904055e-05,9.2250117e-05,0.00021576632,0.00010019991,0.00018135279,0.00019273873,0.00018840486,0.00013443873,2.982478e-05,0.00014260942,5.59867e-05,9.572303e-05,0.00012148644
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Rhizobiaceae.g__Sinorhizobium",0.000120754895,0.00022198028,0.00021162434,0.000100533874,0.000154616344,9.8121074e-05,0.000180464588,0.000400413521,0.000127651652,0.000149454026,0.00019146152,9.0914236e-05,0.000250219675,6.4929571e-05,3.1251912e-05,0.00018276789,0.000120873776,0.000123580345,0.000298814435,0.000133330534,0.00029089474,0.000128492485,0.00034097185,0.000202900384,0.0002337177951,0.00021426196,7.9194865e-05,0.0001775914198,0.000231700959
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Stappiaceae.g__Labrenzia",2.6517121e-05,6.180889e-05,6.11631e-05,2.473452e-05,1.7820876e-05,1.755011e-05,4.2982274e-05,0.00012816163,3.3350431e-05,0.00014688129,5.0091668e-05,3.9093122e-05,4.394959e-05,7.214396e-06,3.212813e-06,4.903529e-05,2.0251105e-05,2.784909e-05,9.9141247e-05,5.1312057e-05,8.51993e-05,3.1762192e-05,0.000136951907,0.00014713725,3.9314487e-05,7.9072866e-05,2.9189652e-05,9.25742502e-05,7.8486089e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Stappiaceae.g__Pannonibacter",6.139733e-05,0.0001967251,0.0001272193,6.54268e-05,9.87236e-05,5.998947e-05,7.194196e-05,0.0001607513,8.193856e-05,0.0008090165,0.0001008512,0.0002759247,0.0001300908,3.293529e-05,2.657873e-05,0.0002774951,9.476884e-05,7.633635e-05,0.0001658977,7.070559e-05,0.0001874385,7.146492e-05,0.0003089737,0.0002371311,0.0001062847,0.0003081755,0.0001528868,0.0001168199,0.0001223214
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Stappiaceae.g__Pseudovibrio",1.529834e-05,3.057213e-05,3.751337e-05,2.872396e-05,2.5212485e-05,1.5795097e-05,2.0119358e-05,4.540583e-05,1.926275e-05,0.00029844026,2.8496589e-05,8.076215e-05,4.424259e-05,3.293529e-06,0,5.014973e-05,2.6104936e-05,2.287604e-05,2.384158e-05,3.272659e-05,3.6513984e-05,1.0828019e-05,5.785258e-05,5.603914e-05,1.8708269e-05,8.3942459e-05,3.708521e-05,7.399643e-05,5.301986e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Stappiaceae.g__Roseibium",3.8347838e-05,0.00014289151,5.627006e-05,6.303314e-05,3.908442e-05,3.1111561e-05,9.678633e-05,0.00015361091,3.3062923e-05,0.00029306088,6.322681e-05,9.758129e-05,7.324932e-05,1.6467639e-05,1.2792838e-05,3.677646e-05,3.797082e-05,3.754655e-05,0.00011960527,4.040319e-05,9.737063e-05,2.3821646e-05,0.00014514342,0.00014051194,6.507225e-05,0.0001514211,5.35941e-05,9.572304e-05,8.307836e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Stappiaceae.g__Stappia",1.7746078e-05,5.649199e-05,4.648396e-05,2.9521846e-05,3.0275233e-05,1.4678278e-05,3.6885496e-05,0.00014317486,1.5812703e-05,2.8066487e-05,2.18177e-05,3.9547692e-05,3.398769e-05,1.4036709e-05,7.243434e-06,3.677646e-05,3.591407e-05,1.4919157e-05,9.894257e-05,2.4645949e-05,3.4079716e-05,1.8768569e-05,6.42522e-05,2.594916e-05,0.000169187863,3.594221e-05,2.1533348e-05,2.991345e-05,3.2980856e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Xanthobacteraceae.g__Ancylobacter",4.283535e-05,7.111345e-05,6.483289e-05,3.750073e-05,3.817313e-05,4.243936e-05,4.770728e-05,8.806535e-05,3.3062929e-05,4.116417e-05,3.517548e-05,2.3031606e-05,4.717256e-05,2.3133116e-05,9.404781e-06,4.903529e-05,1.9460043e-05,2.461661e-05,8.225345e-05,3.515078e-05,6.329091e-05,5.41401e-05,7.013986e-05,5.189832e-05,4.446604e-05,5.611623e-05,2.847187e-05,3.8415167e-05,4.049548e-05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Xanthobacteraceae.g__Azorhizobium",1.081083e-05,5.383355e-05,2.120321e-05,2.63303e-05,3.26041e-05,1.755011e-05,0.0001076081,0.0001358513,6.612585e-06,8.045726e-05,1.224463e-05,2.303161e-05,2.343978e-05,4.548206e-06,4.497939e-06,4.234866e-05,1.787793e-05,1.516781e-05,8.821385e-05,1.414112e-05,2.555979e-05,1.876857e-05,4.556531e-05,4.886172e-05,3.904335e-05,5.147852e-05,2.225112e-05,2.959857e-05,3.21459e-05
