"Contig_number","lca","Sample_id","Virulent","Temperate","Code","GD","Diet","num_seqs","Group","Group_f","bac_result","Phacts_result","Probability","Standard_deviation","Bact_Viru","Viruse_Pro_Number","Lineage","Mapped.Reads.Number","Contig_Abundance","seqname","length","covrage","viruse_family","Contig_Abundance2"
"NODE_11041_length_2059_cov_2.041417||full",2832643,"L1HGH010576",0.811878201654615,0.188121798345387,1,"D18","CON",1348974,"CON18","D18_CON18","Lytic","Lytic",0.505494505494506,0.025637565663863,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",59,43.7369437809772,"NODE_11041_length_2059_cov_2.041417",2059,2.041417,"Caudoviricetes",6.3725513036878
"NODE_11043_length_2091_cov_2.663065||full",2832643,"L1EHE1100144",0.84767381685376,0.15232618314624,1,"D0","HFD",7682661,"HFD0","D0_HFD0","Lytic","Temperate",0.505694305694306,0.0190900700370948,1,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",75,9.76224253549649,"NODE_11043_length_2091_cov_2.663065",2091,2.663065,"Caudoviricetes",1.40060868515014
"NODE_11052_length_1311_cov_4.702229||full",2832643,"L1EHE1100151",0.811878201654615,0.188121798345387,1,"D10","HFD",7766878,"HFD10","D10_HFD10","Lytic","Lytic",0.501898101898102,0.015270017026402,1,1,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",77,9.91389333011282,"NODE_11052_length_1311_cov_4.702229",1311,4.702229,"Caudoviricetes",2.26862547599836
"NODE_1106_length_9028_cov_21.756380||full",2831617,"L1EGH020934",0.960226194893518,0.0397738051064824,2,"D0","FUC",9033759,"FUC0","D0_FUC0","Lytic","Temperate",0.503296703296703,0.0346173667034764,1,7,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;unclassified_Crassvirales;CrAss-like_virus_sp.",2075,229.693973461103,"NODE_1106_length_9028_cov_21.756380",9028,21.75638,"unclassified_Crassvirales",7.63271954345712
"NODE_11064_length_2802_cov_2.257008||full",2832643,"L1EGH020941",0.811878201654615,0.188121798345387,2,"D10","FUC",6503397,"FUC10","D10_FUC10","Lytic","Lytic",0.504495504495504,0.0154829041087388,0.8,4,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",90,13.838921412917,"NODE_11064_length_2802_cov_2.257008",2802,2.257008,"Caudoviricetes",1.48168323478768
"NODE_11069_length_1459_cov_3.309117||full",2832643,"L1HGH010563",0.811878201654615,0.188121798345387,1,"D10","CON",3065098,"CON10","D10_CON10","Lytic","Lytic",0.504295704295704,0.0197428480751818,1,4,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",62,20.227738232187,"NODE_11069_length_1459_cov_3.309117",1459,3.309117,"Caudoviricetes",4.159233358229
"NODE_11069_length_1818_cov_4.158253||full",2832643,"L1EGH020938",0.811878201654615,0.188121798345387,2,"D10","FUC",3904971,"FUC10","D10_FUC10","Lytic","Lytic",0.5001998001998,0.0235393552038269,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",91,23.3036301678041,"NODE_11069_length_1818_cov_4.158253",1818,4.158253,"Caudoviricetes",3.84548352604027
"NODE_11082_length_2317_cov_8.920424||full",2832643,"L1EGH020942",0.811878201654615,0.188121798345387,2,"D14","FUC",6297602,"FUC14","D14_FUC14","Lytic","Temperate",0.504995004995005,0.0192900341383954,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",161,25.5652865963902,"NODE_11082_length_2317_cov_8.920424",2317,8.920424,"Caudoviricetes",3.31013637415497
"NODE_11088_length_1080_cov_2.829268||full",2788787,"L1HGH010567",0.811878201654615,0.188121798345387,1,"D14","CON",9815966,"CON14","D14_CON14","Lytic","Lytic",0.514085914085914,0.0182803534753109,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes",32,3.25999499183269,"NODE_11088_length_1080_cov_2.829268",1080,2.829268,NA,0.90555416439797
"NODE_1109_length_11455_cov_5.668158||full",2832643,"L1HGH010559",0.95355827098327,0.0464417290167305,1,"D0","CON",1732889,"CON0","D0_CON0","Lytic","Lytic",0.508591408591409,0.0232552756058737,0.875,14,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",795,458.771450450664,"NODE_1109_length_11455_cov_5.668158",11455,5.668158,"Caudoviricetes",12.0149659655346
"NODE_11096_length_1839_cov_3.606502||full",2832643,"L1EGH020933",0.95209760575765,0.0479023942423501,2,"D0","FUC",11806630,"FUC0","D0_FUC0","Lytic","Temperate",0.503996003996004,0.0137503333629824,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",87,7.36874112257266,"NODE_11096_length_1839_cov_3.606502",1839,3.606502,"Caudoviricetes",1.20207848655345
"NODE_11097_length_1441_cov_1.908369||full",2832643,"L1HGH010562",0.811878201654615,0.188121798345387,1,"D10","CON",3496439,"CON10","D10_CON10","Lytic","Temperate",0.502197802197802,0.0137270880260783,0.75,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",30,8.58015826959944,"NODE_11097_length_1441_cov_1.908369",1441,1.908369,"Caudoviricetes",1.78629249193604
"NODE_111_length_34401_cov_29.922291||full",2832643,"L1HGH010574",0.960100920544941,0.0398990794550593,1,"D18","CON",2433274,"CON18","D18_CON18","Lytic","Lytic",0.502597402597403,0.0233281172341782,0.64,16,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",11215,4609.01649382684,"NODE_111_length_34401_cov_29.922291",34401,29.922291,"Caudoviricetes",40.193742860616
"NODE_11101_length_2151_cov_4.926527||full",2832643,"L1HGH010566",0.811878201654615,0.188121798345387,1,"D10","CON",14405965,"CON10","D10_CON10","Lytic","Temperate",0.507992007992008,0.0128809160421854,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",109,7.56631020552945,"NODE_11101_length_2151_cov_4.926527",2151,4.926527,"Caudoviricetes",1.05527338989253
"NODE_11107_length_1947_cov_3.213002||full",2832643,"L1EHE1100160",0.811878201654615,0.188121798345387,1,"D18","HFD",5476939,"HFD18","D18_HFD18","Lytic","Temperate",0.504795204795205,0.0166329916287643,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",68,12.4156942408889,"NODE_11107_length_1947_cov_3.213002",1947,3.213002,"Caudoviricetes",1.91304996007534
"NODE_11108_length_1592_cov_3.009759||full",2832643,"L1EHE1100153",0.863676149999223,0.136323850000777,1,"D10","HFD",11193366,"HFD10","D10_HFD10","Lytic","Temperate",0.505094905094905,0.0199860130871827,1,1,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",76,6.78973599183659,"NODE_11108_length_1592_cov_3.009759",1592,3.009759,"Caudoviricetes",1.27947286278328
"NODE_11116_length_2083_cov_2.967456||full",2731619,"L1EHE1100144",0.811878201654615,0.188121798345387,1,"D0","HFD",7682661,"HFD0","D0_HFD0","Lytic","Temperate",0.505294705294705,0.0129777881630809,1,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes",68,8.85109989885015,"NODE_11116_length_2083_cov_2.967456",2083,2.967456,NA,1.27476234741001
"NODE_11127_length_1680_cov_2.688000||full",2832643,"L1HGH010572",0.811878201654615,0.188121798345387,1,"D18","CON",2905693,"CON18","D18_CON18","Lytic","Temperate",0.508691308691309,0.0149303030507648,1,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",50,17.2075990133851,"NODE_11127_length_1680_cov_2.688000",1680,2.688,"Caudoviricetes",3.07278553810448
"NODE_11128_length_2080_cov_3.696790||full",2832643,"L1EGH020935",0.811878201654615,0.188121798345387,2,"D0","FUC",6954542,"FUC0","D0_FUC0","Lytic","Lytic",0.501298701298701,0.0130850064575688,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",85,12.2222282933944,"NODE_11128_length_2080_cov_3.696790",2080,3.69679,"Caudoviricetes",1.76282138847035
"NODE_11130_length_1416_cov_2.116091||full",2832643,"L1EGH020948",0.811878201654615,0.188121798345387,2,"D18","FUC",4518638,"FUC18","D18_FUC18","Lytic","Lytic",0.500799200799201,0.0218233134451106,1,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",30,6.6391687052603,"NODE_11130_length_1416_cov_2.116091",1416,2.116091,"Caudoviricetes",1.40660353925006
"NODE_11132_length_2146_cov_4.310856||lt2gene",2832643,"L1HGH010566",0.811878201654615,0.188121798345387,1,"D10","CON",14405965,"CON10","D10_CON10","Lytic","Lytic",0.508591408591409,0.0157668185210233,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",119,8.2604671051193,"NODE_11132_length_2146_cov_4.310856",2146,4.310856,"Caudoviricetes",1.15477172951342
"NODE_11146_length_2045_cov_2.996482||full",2832643,"L1HGH010576",0.931779094256249,0.0682209057437508,1,"D18","CON",1348974,"CON18","D18_CON18","Lytic","Lytic",0.5002997002997,0.0163287011244831,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",69,51.1499850997869,"NODE_11146_length_2045_cov_2.996482",2045,2.996482,"Caudoviricetes",7.50366529581227
"NODE_11148_length_2627_cov_4.539658||full",2832643,"L1EHE1100148",0.801856175222897,0.198143824777105,1,"D10","HFD",4836085,"HFD10","D10_HFD10","Lytic","Lytic",0.505194805194805,0.0184696346489168,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",153,31.6371610507259,"NODE_11148_length_2627_cov_4.539658",2627,4.539658,"Caudoviricetes",3.61292284553399
"NODE_1115_length_12991_cov_15.003247||full",2832643,"L1HGH010577",0.875,0.125,1,"D18","CON",7933325,"CON18","D18_CON18","Lytic","Lytic",0.504895104895105,0.0258167837046363,0.727272727272727,8,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",2104,265.210362615927,"NODE_1115_length_12991_cov_15.003247",12991,15.003247,"Caudoviricetes",6.12447916132539
"NODE_1115_length_3578_cov_6.218848||full",38018,"L1EGH020950",0.943006607929515,0.0569933920704846,2,"D18","FUC",10324923,"FUC18","D18_FUC18","Lytic","Temperate",0.501998001998002,0.0184166044153719,1,1,"Viruses;unclassified_bacterial_viruses;Bacteriophage_sp.",236,22.8573133184625,"NODE_1115_length_3578_cov_6.218848",3578,6.218848,NA,1.91648798086606
"NODE_11154_length_2072_cov_2.855726||full",2832643,"L1EGH020946",0.811878201654615,0.188121798345387,2,"D14","FUC",7525830,"FUC14","D14_FUC14","Lytic","Temperate",0.513486513486513,0.0289951327611137,0.75,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",60,7.97254256341161,"NODE_11154_length_2072_cov_2.855726",2072,2.855726,"Caudoviricetes",1.15432566072562
"NODE_11157_length_1881_cov_3.078313||full",2832643,"L1EHE1100152",0.811878201654615,0.188121798345387,1,"D10","HFD",5747820,"HFD10","D10_HFD10","Lytic","Temperate",0.506493506493506,0.0198949236795616,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",99,17.2239214171634,"NODE_11157_length_1881_cov_3.078313",1881,3.078313,"Caudoviricetes",2.7470369086385
"NODE_11157_length_2078_cov_3.020761||full",2832643,"L1HGH010568",0.886781850087741,0.113218149912259,1,"D14","CON",4271223,"CON14","D14_CON14","Lytic","Temperate",0.504395604395604,0.0201662153326318,1,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",67,15.686373668619,"NODE_11157_length_2078_cov_3.020761",2078,3.020761,"Caudoviricetes",2.26463527458408
"NODE_1116_length_8101_cov_18.033308||full",2832643,"L1EHE1100149",0.986946176567115,0.0130538234328848,1,"D10","HFD",7600927,"HFD10","D10_HFD10","Lytic","Lytic",0.501998001998002,0.0177600351037766,1,1,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",1534,201.817488840506,"NODE_1116_length_8101_cov_18.033308",8101,18.033308,"Caudoviricetes",7.47379911765853
"NODE_11162_length_2142_cov_4.231912||full",2832643,"L1HGH010566",0.84767381685376,0.15232618314624,1,"D10","CON",14405965,"CON10","D10_CON10","Lytic","Lytic",0.508491508491508,0.0222891429043668,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",96,6.66390623606263,"NODE_11162_length_2142_cov_4.231912",2142,4.231912,"Caudoviricetes",0.93332020112922
"NODE_11164_length_2077_cov_2.844214||full",2731619,"L1EHE1100144",0.811878201654615,0.188121798345387,1,"D0","HFD",7682661,"HFD0","D0_HFD0","Lytic","Temperate",0.502597402597403,0.0228045912304571,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes",71,9.24158960027001,"NODE_11164_length_2077_cov_2.844214",2077,2.844214,NA,1.33484683682282
"NODE_11168_length_1378_cov_3.263794||full",2832643,"L1EHE1100145",0.864217681649296,0.135782318350704,1,"D0","HFD",12059949,"HFD0","D0_HFD0","Lytic","Lytic",0.505794205794206,0.0331844313771062,1,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",45,3.73135906296121,"NODE_11168_length_1378_cov_3.263794",1378,3.263794,"Caudoviricetes",0.812342321399393
"NODE_11178_length_1971_cov_3.902401||full",2832643,"L1EGH020947",0.811878201654615,0.188121798345387,2,"D18","FUC",6254490,"FUC18","D18_FUC18","Lytic","Lytic",0.514185814185814,0.0173495730098774,1,4,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",78,12.4710408042862,"NODE_11178_length_1971_cov_3.902401",1971,3.902401,"Caudoviricetes",1.89817972667979
"NODE_11187_length_1377_cov_2.469743||full",2832643,"L1EHE1100145",0.811878201654615,0.188121798345387,1,"D0","HFD",12059949,"HFD0","D0_HFD0","Lytic","Temperate",0.512687312687313,0.0169524317644873,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",37,3.068006340657,"NODE_11187_length_1377_cov_2.469743",1377,2.469743,"Caudoviricetes",0.668410967463398
"NODE_11188_length_1627_cov_2.282443||lt2gene",2832643,"L1HGH010557",0.811878201654615,0.188121798345387,1,"D0","CON",3289088,"CON0","D0_CON0","Lytic","Temperate",0.504595404595405,0.0157794729783122,1,1,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",46,13.9856397882939,"NODE_11188_length_1627_cov_2.282443",1627,2.282443,"Caudoviricetes",2.5787903727647
"NODE_11188_length_2901_cov_6.982080||full",2832643,"L1EHE1100147",0.811878201654615,0.188121798345387,1,"D0","HFD",8310904,"HFD0","D0_HFD0","Lytic","Temperate",0.505594405594406,0.0239404081121377,0.5,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",265,31.8858213258149,"NODE_11188_length_2901_cov_6.982080",2901,6.98208,"Caudoviricetes",3.29739620742656
"NODE_11193_length_2301_cov_6.217275||full",2832643,"L1EGH020942",0.960226194893518,0.0397738051064824,2,"D14","FUC",6297602,"FUC14","D14_FUC14","Lytic","Temperate",0.500599400599401,0.0280520120904005,0.5,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",162,25.7240771963678,"NODE_11193_length_2301_cov_6.217275",2301,6.217275,"Caudoviricetes",3.35385621856164
"NODE_11195_length_2706_cov_3.559412||full",2832643,"L1HGH010574",0.811878201654615,0.188121798345387,1,"D18","CON",2433274,"CON18","D18_CON18","Lytic","Lytic",0.515384615384615,0.0192600034679409,0.8,4,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",118,48.4943331494932,"NODE_11195_length_2706_cov_3.559412",2706,3.559412,"Caudoviricetes",5.37631187910125
"NODE_11196_length_1376_cov_3.005299||full",2832643,"L1EHE1100145",0.811878201654615,0.188121798345387,1,"D0","HFD",12059949,"HFD0","D0_HFD0","Lytic","Temperate",0.501298701298701,0.026252256072978,1,1,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",44,3.64843997267318,"NODE_11196_length_1376_cov_3.005299",1376,3.005299,"Caudoviricetes",0.795444761483979
"NODE_11196_length_3026_cov_5.443285||full",2832643,"L1HGH010561",0.95386842138174,0.0461315786182596,1,"D0","CON",5555870,"CON0","D0_CON0","Lytic","Temperate",0.504695304695305,0.0182125307344207,0.75,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",172,30.9582477631766,"NODE_11196_length_3026_cov_5.443285",3026,5.443285,"Caudoviricetes",3.06922482780997
"NODE_11198_length_3104_cov_3.306002||full",2832643,"L1HGH010573",0.811878201654615,0.188121798345387,1,"D18","CON",9970469,"CON18","D18_CON18","Lytic","Lytic",0.511688311688312,0.0269759868135904,1,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",113,11.3334688669109,"NODE_11198_length_3104_cov_3.306002",3104,3.306002,"Caudoviricetes",1.09537392399267
"NODE_112_length_21860_cov_334.137537||full",2831617,"L1HGH010560",0.877817499186932,0.122182500813069,1,"D0","CON",5077775,"CON0","D0_CON0","Lytic","Lytic",0.500999000999001,0.0148864557656585,1,6,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;unclassified_Crassvirales;CrAss-like_virus_sp.",76640,15093.2248868845,"NODE_112_length_21860_cov_334.137537",21860,334.137537,"unclassified_Crassvirales",207.134833763282
"NODE_1120_length_6749_cov_5.803406||full",2832643,"L1EHE1100158",0.811878201654615,0.188121798345387,1,"D18","HFD",5825360,"HFD18","D18_HFD18","Lytic","Lytic",0.507692307692308,0.00913198392169945,1,6,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",524,89.9515223093508,"NODE_1120_length_6749_cov_5.803406",6749,5.803406,"Caudoviricetes",3.99843779712628
"NODE_11209_length_1321_cov_3.866509||lt2gene",2832643,"L1EGH020936",0.811878201654615,0.188121798345387,2,"D0","FUC",8561108,"FUC0","D0_FUC0","Lytic","Lytic",0.504695304695305,0.0229457285910122,1,1,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",51,5.95717283323607,"NODE_11209_length_1321_cov_3.866509",1321,3.866509,"Caudoviricetes",1.35287800906194
"NODE_1121_length_4721_cov_4.745392||full",2832643,"L1EHE1100145",0.855023864524424,0.144976135475577,1,"D0","HFD",12059949,"HFD0","D0_HFD0","Lytic","Lytic",0.501598401598402,0.0219936825505339,1,1,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",257,21.3102062040229,"NODE_1121_length_4721_cov_4.745392",4721,4.745392,"Caudoviricetes",1.35417535717155
"NODE_1121_length_8011_cov_7.323404||full",2832643,"L1HGH010570",0.986946176567115,0.0130538234328848,1,"D14","CON",5615729,"CON14","D14_CON14","Lytic","Temperate",0.501598401598402,0.0270817728691109,0.538461538461538,7,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",650,115.746326078057,"NODE_1121_length_8011_cov_7.323404",8011,7.323404,"Caudoviricetes",4.33452725295432
"NODE_11210_length_1772_cov_13.023296||full",2832643,"L1HGH010575",0.811878201654615,0.188121798345387,1,"D18","CON",4571909,"CON18","D18_CON18","Lytic","Temperate",0.508991008991009,0.0256424311233918,1,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",289,63.2121068026507,"NODE_11210_length_1772_cov_13.023296",1772,13.023296,"Caudoviricetes",10.7018239507874
"NODE_11212_length_1144_cov_1.887971||full",2832643,"L1HGH010571",0.811878201654615,0.188121798345387,1,"D14","CON",2848358,"CON14","D14_CON14","Lytic","Temperate",0.503296703296703,0.0239627002606433,1,4,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",24,8.42590713667313,"NODE_11212_length_1144_cov_1.887971",1144,1.887971,"Caudoviricetes",2.20959103234435
"NODE_1122_length_6744_cov_9.151592||full",2832643,"L1EHE1100158",0.928473641092975,0.0715263589070251,1,"D18","HFD",5825360,"HFD18","D18_HFD18","Lytic","Lytic",0.505594405594406,0.0181502288952864,0.5,4,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",649,111.409423623604,"NODE_1122_length_6744_cov_9.151592",6744,9.151592,"Caudoviricetes",4.95593521457315
"NODE_11223_length_3022_cov_3.851702||full",2832643,"L1HGH010561",0.88003125015028,0.11996874984972,1,"D0","CON",5555870,"CON0","D0_CON0","Lytic","Temperate",0.501398601398601,0.0185203577097462,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",248,44.6374735189988,"NODE_11223_length_3022_cov_3.851702",3022,3.851702,"Caudoviricetes",4.43125150751147
"NODE_11228_length_1307_cov_1.863419||lt2gene",2832643,"L1HGH010558",0.811878201654615,0.188121798345387,1,"D0","CON",2217375,"CON0","D0_CON0","Lytic","Temperate",0.513286713286713,0.0259847822191593,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",27,12.1765601217656,"NODE_11228_length_1307_cov_1.863419",1307,1.863419,"Caudoviricetes",2.79492581218797
"NODE_11233_length_1319_cov_3.155854||full",2832643,"L1EGH020936",0.811878201654615,0.188121798345387,2,"D0","FUC",8561108,"FUC0","D0_FUC0","Lytic","Temperate",0.504695304695305,0.0216061537856995,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",44,5.13952166004681,"NODE_11233_length_1319_cov_3.155854",1319,3.155854,"Caudoviricetes",1.16895867931315
"NODE_11241_length_1393_cov_2.097160||lt2gene",2832643,"L1EGH020937",0.811878201654615,0.188121798345387,2,"D10","FUC",5160896,"FUC10","D10_FUC10","Lytic","Lytic",0.5003996003996,0.0167668561139126,1,1,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",31,6.00670891256092,"NODE_11241_length_1393_cov_2.097160",1393,2.09716,"Caudoviricetes",1.2936200098839
"NODE_11242_length_1319_cov_2.019778||full",2832643,"L1EGH020936",0.811878201654615,0.188121798345387,2,"D0","FUC",8561108,"FUC0","D0_FUC0","Lytic","Lytic",0.504695304695305,0.0211203082149478,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",39,4.55548510776876,"NODE_11242_length_1319_cov_2.019778",1319,2.019778,"Caudoviricetes",1.03612246575484
"NODE_11243_length_1443_cov_2.387608||full",1978007,"L1HGH010563",0.811878201654615,0.188121798345387,1,"D10","CON",3065098,"CON10","D10_CON10","Lytic","Lytic",0.504795204795205,0.0136029311359459,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales",37,12.0713921708213,"NODE_11243_length_1443_cov_2.387608",1443,2.387608,NA,2.50964494195869
"NODE_11249_length_2687_cov_3.741641||full",2832643,"L1EGH020932",0.811878201654615,0.188121798345387,2,"D0","FUC",5671704,"FUC0","D0_FUC0","Lytic","Temperate",0.503296703296703,0.017069767271806,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",95,16.7498162809625,"NODE_11249_length_2687_cov_3.741641",2687,3.741641,"Caudoviricetes",1.87009485831364
"NODE_11254_length_1331_cov_2.181818||full",2832643,"L1HGH010569",0.780197320146677,0.219802679853324,1,"D14","CON",7575629,"CON14","D14_CON14","Lytic","Lytic",0.50979020979021,0.0198298552807611,0.5,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",37,4.88408289265485,"NODE_11254_length_1331_cov_2.181818",1331,2.181818,"Caudoviricetes",1.10084512982454
"NODE_1126_length_7979_cov_6.216936||full",38018,"L1EGH020938",0.897064055583069,0.102935944416931,2,"D10","FUC",3904971,"FUC10","D10_FUC10","Lytic","Lytic",0.501898101898102,0.0225615036751185,1,7,"Viruses;unclassified_bacterial_viruses;Bacteriophage_sp.",568,145.455625662777,"NODE_1126_length_7979_cov_6.216936",7979,6.216936,NA,5.46894193493334
"NODE_11267_length_1960_cov_4.961155||full",2832643,"L1EGH020947",0.811878201654615,0.188121798345387,2,"D18","FUC",6254490,"FUC18","D18_FUC18","Lytic","Lytic",0.5003996003996,0.0144937797219735,1,5,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",101,16.1483989901655,"NODE_11267_length_1960_cov_4.961155",1960,4.961155,"Caudoviricetes",2.47169372298451
