"Diet1","Sample_id","Original_Part","Modified_Part","lineage _nt","species_annotation","annotation_pre","host_Taxids","host_Lineage","host_annotation","Lytic","Temperate","BioProject","Diet","Nutrition1","Nutrition","Antibiotic","Diease","Diease2","Country","Continent","Host","Age","Age2","Sex","Diet_Type","gene"
"Baseline","ERR3857981","NODE_17_length_32855_cov_2.468926","part_1083_N17","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Oscillospiraceae",216572,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__unclassified_Oscillospiraceae_genus;s__unclassified_Oscillospiraceae_species","Bacillota","0.9363023420865861","0.06369765791341378","PRJEB33500","Baseline","","","","Obesity","Obesity","Italy","Europe","human","Adult","Middle_age","female","Control","part_1083_N17"
"Baseline","SRR7989960","NODE_2_length_32506_cov_6.669185_cutoff_5_type_circular","part_280_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Oscillospiraceae",216572,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__unclassified_Oscillospiraceae_genus;s__unclassified_Oscillospiraceae_species","Bacillota","0.9113023420865861","0.08869765791341377","PRJNA491335.2","Baseline","","","","","","Denmark","Europe","human","Adult","Elderly_people","male","Control","part_280_N2"
"Vegatarian","ERR5947712","NODE_1_length_32674_cov_4.569331_cutoff_5_type_circular","part_1193_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Oscillospiraceae",216572,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__unclassified_Oscillospiraceae_genus;s__unclassified_Oscillospiraceae_species","Bacillota","0.9113023420865861","0.08869765791341377","PRJEB11419","Vegatarian","Low_alkohol","Control","","","","United_States","North_America","human","Adult","Middle_age","","Special population diet","part_1193_N1"
"Omnivores","ERR5654456","NODE_57_length_32552_cov_19.787960","part_1208_N57","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Oscillospiraceae",216572,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__unclassified_Oscillospiraceae_genus;s__unclassified_Oscillospiraceae_species","Bacillota","0.9538684213817404","0.04613157861825958","PRJEB11419","Omnivores","High_alkohol","Alkohol","","","","United_States","North_America","human","Adult","Elderly_people","","Control","part_1208_N57"
"Baseline","ERR8960251","NODE_48_length_31504_cov_15.442494","part_815_N48","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Oscillospiraceae",216572,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__unclassified_Oscillospiraceae_genus;s__unclassified_Oscillospiraceae_species","Bacillota","0.925","0.075","PRJEB35524","Baseline","Baseline","Baseline","N","Obesity","Obesity","France","Europe","human","Adult","","","Control","part_815_N48"
"Baseline","ERR3857128","NODE_20_length_32544_cov_1.422895","part_1105_N20","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Agathobaculum",2048137,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Agathobaculum;s__unclassified_Agathobaculum_species","Bacillota","0.925","0.075","PRJEB33500","Baseline","","","","Obesity","Obesity","Italy","Europe","human","Adult","Youth","male","Control","part_1105_N20"
"Baseline","ERR3857908","NODE_33_length_31552_cov_3.760891","part_1084_N33","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Agathobaculum",2048137,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Agathobaculum;s__unclassified_Agathobaculum_species","Bacillota","0.9488023420865861","0.051197657913413776","PRJEB33500","Baseline","","","","Obesity","Obesity","Italy","Europe","human","Adult","Youth","male","Control","part_1084_N33"
"Baseline","SRR5866299","NODE_2_length_32884_cov_6.132319_cutoff_5_type_circular","part_088_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Oscillospiraceae",216572,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__unclassified_Oscillospiraceae_genus;s__unclassified_Oscillospiraceae_species","Bacillota","0.9","0.1","PRJNA395744","Baseline","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Control","part_088_N2"
"Low_calorie_diet","SRR17241821","NODE_6_length_32437_cov_4.172361_cutoff_0_type_circular","part_995_N6","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Agathobaculum",2048137,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Agathobaculum;s__unclassified_Agathobaculum_species","Bacillota","0.9375","0.0625","PRJNA788383","Low_calorie_diet","Control","Control","","Obesity","Obesity","Italy","Europe","human","children","","","Fat","part_995_N6"
"Baseline","ERR3015733","NODE_1_length_33131_cov_40.433947_cutoff_5_type_circular","part_205_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Oscillospiraceae",216572,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__unclassified_Oscillospiraceae_genus;s__unclassified_Oscillospiraceae_species","Bacillota","0.9488023420865861","0.051197657913413776","PRJEB30307","Baseline","","","","","","United_Kingdom","Europe","human","Adult","","","Control","part_205_N1"
"Low_gluten_diet","SRR7989869","NODE_3_length_33320_cov_5.234636_cutoff_0_type_circular","part_269_N3","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Oscillospiraceae",216572,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__unclassified_Oscillospiraceae_genus;s__unclassified_Oscillospiraceae_species","Bacillota","0.9625","0.0375","PRJNA491335.2","Low_gluten_diet","","","","","","Denmark","Europe","human","Adult","Middle_age","female","Control","part_269_N3"
"Baseline","SRR7989870","NODE_1_length_33319_cov_7.243487_cutoff_0_type_circular","part_345_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Oscillospiraceae",216572,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__unclassified_Oscillospiraceae_genus;s__unclassified_Oscillospiraceae_species","Bacillota","0.9625","0.0375","PRJNA491335.2","Baseline","","","","","","Denmark","Europe","human","Adult","Middle_age","female","Control","part_345_N1"
"Omnivores","ERR5654450","NODE_43_length_32404_cov_69.462616","part_1185_N43","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Oscillospiraceae",216572,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__unclassified_Oscillospiraceae_genus;s__unclassified_Oscillospiraceae_species","Bacillota","0.9093469539058214","0.09065304609417854","PRJEB11419","Omnivores","High_alkohol","Alkohol","","","","United_States","North_America","human","Adult","Elderly_people","","Control","part_1185_N43"
"High_fermented_diet","SRR11304936","NODE_2_length_32378_cov_9.807913_cutoff_5_type_circular","part_211_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Agathobaculum",2048137,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Agathobaculum;s__unclassified_Agathobaculum_species","Bacillota","0.925","0.075","PRJNA612367","High_fermented_diet","probiotics","Probiotics","","Constipation","Constipation","China","Asia","human","Adult","","","Fermented","part_211_N2"
"Omnivores","ERR5947752","NODE_1_length_30461_cov_29.292642_cutoff_5_type_circular","part_1166_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Coprococcus",33042,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__unclassified_Coprococcus_species","Bacillota","0.95","0.05","PRJEB11419","Omnivores","Low_alkohol","Control","","","","United_States","North_America","human","Adult","Elderly_people","","Control","part_1166_N1"
"Vegatarian","ERR5947753","NODE_2_length_31978_cov_41.612194_cutoff_0_type_circular","part_1257_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Coprococcus",33042,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__unclassified_Coprococcus_species","Bacillota","0.9375","0.0625","PRJEB11419","Vegatarian","Low_alkohol","Control","","","","United_States","North_America","human","Adult","Middle_age","","Special population diet","part_1257_N2"
"Vegatarian","ERR5947548","NODE_2_length_31978_cov_41.870145_cutoff_0_type_circular","part_1169_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Coprococcus",33042,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__unclassified_Coprococcus_species","Bacillota","0.9375","0.0625","PRJEB11419","Vegatarian","Low_alkohol","Control","","","","United_States","North_America","human","Adult","Middle_age","","Special population diet","part_1169_N2"
"Whole_grain_diet","SRR5866439","NODE_2_length_32017_cov_9.184690_cutoff_0_type_circular","part_084_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Eubacteriales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.8980446118192352","0.10195538818076477","PRJNA395744","High_fiber_diet","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Fiber","part_084_N2"
"Vegatarian","SRR8146947","NODE_2_length_31210_cov_52.770646_cutoff_0_type_circular","part_664_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Eubacteriales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.95","0.05","PRJNA421881","Vegatarian","","","","","","Italy","Europe","human","Adult","","","Special population diet","part_664_N2"
"Vegatarian","SRR8146966","NODE_1_length_31811_cov_192.845064_cutoff_0_type_circular","part_667_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.9","0.1","PRJNA421881","Vegatarian","","","","","","Italy","Europe","human","Adult","","","Special population diet","part_667_N1"
"Baseline","SRR5866562","NODE_2_length_32576_cov_2.589557_cutoff_0_type_circular","part_173_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Eubacteriales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.9105446118192353","0.08945538818076477","PRJNA395744","Baseline","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Control","part_173_N2"
"Baseline","SRR5866372","NODE_1_length_33060_cov_14.163387_cutoff_0_type_circular","part_152_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Coprococcus",33042,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__unclassified_Coprococcus_species","Bacillota","0.9282208232729797","0.07177917672702028","PRJNA395744","Baseline","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Control","part_152_N1"
"Baseline","SRR5866371","NODE_4_length_33060_cov_13.411272_cutoff_5_type_circular","part_066_N4","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Coprococcus",33042,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__unclassified_Coprococcus_species","Bacillota","0.9282208232729797","0.07177917672702028","PRJNA395744","Baseline","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Control","part_066_N4"
"High_fiber_diet","SRR15032212","NODE_4_length_30973_cov_16.292433_cutoff_5_type_circular","part_738_N4","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Coprococcus",33042,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__unclassified_Coprococcus_species","Bacillota","0.9282208232729797","0.07177917672702028","PRJNA743361.1","High_fiber_diet","","","N","Healthy","Healthy","United_States","North_America","human","Adult","Middle_age","","Fiber","part_738_N4"
"Omnivores","ERR7783426","NODE_39_length_32858_cov_15.035264","part_1199_N39","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Coprococcus",33042,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__unclassified_Coprococcus_species","Bacillota","0.947522026431718","0.052477973568281946","PRJEB11419","Omnivores","High_alkohol","Alkohol","","","","United_States","North_America","human","","","","Control","part_1199_N39"
"Omnivores","ERR5654482","NODE_73_length_31424_cov_6.178741","part_1203_N73","k__Viruses;p__unclassified_Viruses_phylum;c__unclassified_Viruses_class;o__unclassified_Viruses_order;f__unclassified_Viruses_family;g__unclassified_Viruses_genus;s__virus_sp._ctvdG25","Myoviridae","Coprococcus",33042,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__unclassified_Coprococcus_species","Bacillota","0.9550660792951543","0.044933920704845816","PRJEB11419","Omnivores","High_alkohol","Alkohol","","","","United_States","North_America","human","Adult","Elderly_people","","Control","part_1203_N73"
"Baseline","SRR15032262","NODE_4_length_32064_cov_10.176165_cutoff_0_type_circular","part_769_N4","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Coprococcus",33042,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__unclassified_Coprococcus_species","Bacillota","0.9531106911143894","0.04688930888561059","PRJNA743361.1","Baseline","","","N","Healthy","Healthy","United_States","North_America","human","Adult","Middle_age","","Control","part_769_N4"
"High_fiber_diet","SRR16554715","NODE_1_length_11684_cov_8.111707_cutoff_0_type_circular","part_1332_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae",NA,NA,NA,NA,"0.9375","0.0625","PRJNA770295","High_fiber_diet","","","N","Tumour","melanoma(Obesity)","United_States","North_America","human","Adult","Middle_age","male","Fiber","part_1332_N1"
"Omnivores","ERR6170281","NODE_5_length_11774_cov_1.527432_cutoff_0_type_circular","part_533_N5","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae",NA,NA,NA,NA,"0.85","0.15","PRJEB45944","Omnivores","","","N","","","Netherlands","Europe","human","Adult","","","Control","part_533_N5"
"","ERR3764904","NODE_1_length_11752_cov_7.183570_cutoff_5_type_circular","part_965_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae",NA,NA,NA,NA,"0.8625","0.1375","PRJEB35769","","Baseline","Baseline","N","Healthy","Healthy","Germany","Europe","human","Adult","","","Control","part_965_N1"
"Control","SRR16554719","NODE_2_length_13560_cov_1.301869_cutoff_0_type_circular","part_1351_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Candidatus",NA,NA,NA,"0.125","0.875","PRJNA770295","Control","","","N","Tumour","melanoma","United_States","North_America","human","Adult","Middle_age","female","Control","part_1351_N2"
"Baseline","SRR15032262","NODE_7_length_13119_cov_11.082503_cutoff_0_type_circular","part_770_N7","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.1625","0.8375","PRJNA743361.1","Baseline","","","N","Healthy","Healthy","United_States","North_America","human","Adult","Middle_age","","Control","part_770_N7"
"Baseline","ERR3857917","NODE_185_length_13302_cov_1.462543","part_1072_N185","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.1625","0.8375","PRJEB33500","Baseline","","","","Obesity","Obesity","Italy","Europe","human","Adult","Middle_age","male","Control","part_1072_N185"
"Vegatarian","SRR8146939","NODE_4_length_13316_cov_11.469331_cutoff_5_type_circular","part_704_N4","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.1625","0.8375","PRJNA421881","Vegatarian","","","","","","Italy","Europe","human","Adult","","","Special population diet","part_704_N4"
"Omnivores","ERR5947515","NODE_4_length_13316_cov_8.693532_cutoff_5_type_circular","part_1262_N4","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.15","0.85","PRJEB11419","Omnivores","Low_alkohol","Control","","","","United_States","North_America","human","Adult","Youth","","Control","part_1262_N4"
"Baseline","SRR5866596","NODE_4_length_13084_cov_9.441608_cutoff_0_type_circular","part_153_N4","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.1875","0.8125","PRJNA395744","Baseline","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Control","part_153_N4"
"High_urbanization","SRR1761689","NODE_1_length_13705_cov_3.086146_cutoff_5_type_circular","part_461_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.1625","0.8375","PRJNA268964","High_urbanization","","","","Obesity","Obesity","United_States","North_America","human","","","female","Special population diet","part_461_N1"
"Whole_grain_diet","SRR5866280","NODE_1_length_11931_cov_23.993757_cutoff_5_type_circular","part_200_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.8672916206571898","0.13270837934281035","PRJNA395744","High_fiber_diet","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Fiber","part_200_N1"
"High_gluten_diet","SRR7989996","NODE_3_length_13086_cov_11.394727_cutoff_5_type_circular","part_296_N3","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Firmicutes",NA,NA,NA,"0.1875","0.8125","PRJNA491335.1","High_gluten_diet","","","","","","Denmark","Europe","human","Adult","Middle_age","female","Gluten","part_296_N3"
"Baseline","ERR8958885","NODE_1205_length_12991_cov_5.551793","part_855_N1205","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.175","0.825","PRJEB35524","Baseline","Baseline","Baseline","N","Obesity","Obesity","France","Europe","human","Adult","","","Control","part_855_N1205"
"Omnivores","ERR5947743","NODE_1_length_13316_cov_5.842824_cutoff_0_type_circular","part_1165_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.1625","0.8375","PRJEB11419","Omnivores","High_alkohol","Alkohol","","","","United_States","North_America","human","Adult","Middle_age","","Control","part_1165_N1"
"High_fiber_diet","SRR16554679","NODE_1_length_13321_cov_11.660149_cutoff_0_type_circular","part_1336_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.175","0.825","PRJNA770295","High_fiber_diet","","","N","Tumour","melanoma(Obesity)","United_States","North_America","human","Adult","Elderly_people","male","Fiber","part_1336_N1"
"High_gluten_diet","SRR7989974","NODE_3_length_13125_cov_7.308630_cutoff_0_type_circular","part_238_N3","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Intestinimonas",1392389,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__Intestinimonas;s__unclassified_Intestinimonas_species","Bacillota","0.125","0.875","PRJNA491335.1","High_gluten_diet","","","","","","Denmark","Europe","human","Adult","Middle_age","female","Gluten","part_238_N3"
"Chow_diet","SRR15431158","NODE_1281_length_13654_cov_6.705973","part_943_N1281","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Eubacterium",1730,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__unclassified_Eubacterium_species","Bacillota","0.125","0.875","PRJNA753725","Chow_diet","Control","Control","","","","China","Asia","mouse","","","male","Control","part_943_N1281"
