"Contig","HGT_contig_length"
"NODE_554_length_17449_cov_24.498103||full_7-(2597..4318)-K06400-spoIVCA; site-specific DNA recombinase",1722
"NODE_10308_length_2966_cov_4.071797||full_1-(1..999)-K03733-xerC; integrase/recombinase XerC",999
"NODE_5447_length_4721_cov_4.549721||full_1 736-4718/4718_6-(3495..3983)-PF09588.10-YqaJ-like viral recombinase domain",489
"NODE_4083_length_5758_cov_5.235841||full_1-(1..1629)-K06400-spoIVCA; site-specific DNA recombinase",1629
"NODE_4083_length_5758_cov_5.235841||full_2-(1629..3269)-K06400-spoIVCA; site-specific DNA recombinase",1641
"NODE_4083_length_5758_cov_5.235841||full_3-(3271..4854)-K06400-spoIVCA; site-specific DNA recombinase",1584
"NODE_5071_length_4966_cov_4.165343||full_2-(554..2191)-K06400-spoIVCA; site-specific DNA recombinase",1638
"NODE_5071_length_4966_cov_4.165343||full_3-(2188..3720)-K06400-spoIVCA; site-specific DNA recombinase",1533
"NODE_24677_length_1505_cov_8.258621||full_3-(676..930)-K06400-spoIVCA; site-specific DNA recombinase",255
"NODE_457_length_18769_cov_14.172277||full_1-(1..1224)-K14059-int; integrase",1224
"NODE_12687_length_2525_cov_9.405668||full_2-(750..1988)-K14059-int; integrase",1239
"NODE_9345_length_3183_cov_4.122442||full_3-(620..2260)-K06400-spoIVCA; site-specific DNA recombinase",1641
"NODE_9345_length_3183_cov_4.122442||full_4-(2257..3000)-K06400-spoIVCA; site-specific DNA recombinase",744
"NODE_2693_length_7512_cov_33.581735||full_10-(5300..7096)-VOG15133-REFSEQ integrase core domain protein",1797
"NODE_4713_length_5224_cov_6.326369||full_4-(1462..2760)-K06400-spoIVCA; site-specific DNA recombinase",1299
"NODE_4713_length_5224_cov_6.326369||full_5-(2748..4364)-K06400-spoIVCA; site-specific DNA recombinase",1617
"NODE_259_length_23915_cov_14.476488||full_27-(21573..22136)-K04763-xerD; integrase/recombinase XerD",564
"NODE_22868_length_1597_cov_7.787938||full_2-(411..1328)-K06400-spoIVCA; site-specific DNA recombinase",918
"NODE_1388_length_10980_cov_6.144256||full_4-(2745..4025)-K06400-spoIVCA; site-specific DNA recombinase",1281
"NODE_1388_length_10980_cov_6.144256||full_5-(3988..5298)-K06400-spoIVCA; site-specific DNA recombinase",1311
"NODE_527_length_17778_cov_9.506178||full_3-(1656..3251)-K06400-spoIVCA; site-specific DNA recombinase",1596
"NODE_2865_length_7253_cov_5.520700||full_11-(5105..6655)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1551
"NODE_7659_length_3679_cov_10.298289||full_2-(305..1621)-K06400-spoIVCA; site-specific DNA recombinase",1317
"NODE_7659_length_3679_cov_10.298289||full_3-(1659..3275)-K06400-spoIVCA; site-specific DNA recombinase",1617
"NODE_8440_length_3428_cov_4.119478||full_2-(1326..2378)-K07482-K07482; transposase, IS30 family",1053
"NODE_51_length_40131_cov_10.591227||full_1 1-34505/40128_42-(29533..31599)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2067
"NODE_14849_length_2227_cov_29.211786||full_3-(692..1525)-K06400-spoIVCA; site-specific DNA recombinase",834
"NODE_14849_length_2227_cov_29.211786||full_4-(1541..2224)-K06400-spoIVCA; site-specific DNA recombinase",684
"NODE_8219_length_3494_cov_4.404769||full_3-(910..1485)-K04763-xerD; integrase/recombinase XerD",576
"NODE_10822_length_2855_cov_5.655000||full_5-(1566..2657)-K07482-K07482; transposase, IS30 family",1092
"NODE_15965_length_2107_cov_6.024854||full_1-(1..1236)-K14059-int; integrase",1236
"NODE_18540_length_1874_cov_10.057174||full_1-(1..870)-K07482-K07482; transposase, IS30 family",870
"NODE_7395_length_3769_cov_8.625202||full_3-(640..2193)-K06400-spoIVCA; site-specific DNA recombinase",1554
"NODE_7395_length_3769_cov_8.625202||full_4-(2178..3599)-K06400-spoIVCA; site-specific DNA recombinase",1422
"NODE_2705_length_7500_cov_11.413835||full_1-(1..1041)-K04763-xerD; integrase/recombinase XerD",1041
"NODE_70_length_36009_cov_30.585776||full_1 1-26191/36005_9-(3442..4011)-K07482-K07482; transposase, IS30 family",570
"NODE_70_length_36009_cov_30.585776||full_1 1-26191/36005_23-(17336..18619)-K06400-spoIVCA; site-specific DNA recombinase",1284
"NODE_70_length_36009_cov_30.585776||full_1 1-26191/36005_24-(18607..20220)-K06400-spoIVCA; site-specific DNA recombinase",1614
"NODE_70_length_36009_cov_30.585776||full_1 1-26191/36005_28-(21521..22516)-K14059-int; integrase",996
"NODE_2573_length_7738_cov_40.950800||full_7-(7376..7660)-K07483-K07483; transposase",285
"NODE_540_length_17568_cov_6.802432||full_16-(8706..10190)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1485
"NODE_4028_length_5800_cov_7.344473||full_2-(186..1706)-K06400-spoIVCA; site-specific DNA recombinase",1521
"NODE_4028_length_5800_cov_7.344473||full_3-(1703..3376)-K06400-spoIVCA; site-specific DNA recombinase",1674
"NODE_4028_length_5800_cov_7.344473||full_4-(3377..5035)-K06400-spoIVCA; site-specific DNA recombinase",1659
"NODE_94_length_33763_cov_10.341759||full_3-(884..2245)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1362
"NODE_232_length_24944_cov_8.923299||full_4-(2567..3412)-PF12784.7-PD-(D/E)XK nuclease family transposase",846
"NODE_7283_length_3806_cov_3.558518||full_2-(71..1087)-K03733-xerC; integrase/recombinase XerC",1017
"NODE_8_length_65768_cov_10.334774||full_1 1-56576/65738_1-(1..1485)-K06400-spoIVCA; site-specific DNA recombinase",1485
"NODE_2708_length_7499_cov_6.452848||full_4-(1108..2727)-K06400-spoIVCA; site-specific DNA recombinase",1620
"NODE_2708_length_7499_cov_6.452848||full_5-(2731..4359)-K06400-spoIVCA; site-specific DNA recombinase",1629
"NODE_2708_length_7499_cov_6.452848||full_6-(4362..5894)-K06400-spoIVCA; site-specific DNA recombinase",1533
"NODE_5384_length_4756_cov_5.252074||full_2-(284..2008)-K06400-spoIVCA; site-specific DNA recombinase",1725
"NODE_5384_length_4756_cov_5.252074||full_3-(1998..3614)-K06400-spoIVCA; site-specific DNA recombinase",1617
"NODE_4183_length_5670_cov_15.278896||full_2-(456..1472)-K04763-xerD; integrase/recombinase XerD",1017
"NODE_52_length_39597_cov_45.752086||full_1 5209-39595/39595_2-(594..2207)-K06400-spoIVCA; site-specific DNA recombinase",1614
"NODE_6903_length_3959_cov_5.446977||full_3-(1299..2294)-K03733-xerC; integrase/recombinase XerC",996
"NODE_438_length_19019_cov_12.894695||full_10-(17023..18063)-K04763-xerD; integrase/recombinase XerD",1041
"NODE_7536_length_3725_cov_8.333515||full_2-(977..2017)-K04763-xerD; integrase/recombinase XerD",1041
"NODE_6868_length_3979_cov_6.171254||full_5-(3035..3976)-K07482-K07482; transposase, IS30 family",942
"NODE_465_length_18630_cov_7.125114||full_14-(7932..8975)-K04763-xerD; integrase/recombinase XerD",1044
"NODE_6_length_67150_cov_8.114942||full_1 2853-67080/67080_44-(35185..36585)-K06400-spoIVCA; site-specific DNA recombinase",1401
"NODE_3970_length_5853_cov_8.879959||full_1-(1..1539)-K06400-spoIVCA; site-specific DNA recombinase",1539
"NODE_3970_length_5853_cov_8.879959||full_2-(1532..3169)-K06400-spoIVCA; site-specific DNA recombinase",1638
"NODE_3970_length_5853_cov_8.879959||full_3-(3170..4780)-K06400-spoIVCA; site-specific DNA recombinase",1611
"NODE_86_length_34621_cov_7.677631||full_1-(1..993)-K04763-xerD; integrase/recombinase XerD",993
"NODE_86_length_34621_cov_7.677631||full_43-(28722..30677)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1956
"NODE_18508_length_1877_cov_2.551043||full_1-(1..1041)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1041
"NODE_6561_length_4113_cov_38.056925||full_1-(1..1884)-K06400-spoIVCA; site-specific DNA recombinase",1884
"NODE_9165_length_3232_cov_4.364180||full_3-(1161..2195)-K07482-K07482; transposase, IS30 family",1035
"NODE_1_length_153765_cov_48.802576||full_32-(15310..16497)-K07496-K07496; putative transposase",1188
"NODE_1_length_153765_cov_48.802576||full_49-(24616..25767)-K07496-K07496; putative transposase",1152
"NODE_1_length_153765_cov_48.802576||full_75-(45877..47088)-K07496-K07496; putative transposase",1212
"NODE_1_length_153765_cov_48.802576||full_104-(90583..91770)-K07496-K07496; putative transposase",1188
"NODE_15160_length_2194_cov_3.447405||full_5-(1913..2191)-PF09588.10-YqaJ-like viral recombinase domain",279
"NODE_179_length_27617_cov_6.919527||full_5-(947..2347)-K06400-spoIVCA; site-specific DNA recombinase",1401
"NODE_4296_length_5553_cov_13.109131||full_8-(3297..5039)-K06400-spoIVCA; site-specific DNA recombinase",1743
"NODE_2122_length_8655_cov_5.429419||full_16-(7084..8442)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1359
"NODE_7556_length_3019_cov_3.804318||full_2-(760..2100)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1341
"NODE_918_length_11516_cov_11.369514||full_1-(1..198)-K07482-K07482; transposase, IS30 family",198
"NODE_5459_length_3771_cov_4.495156||full_2-(77..1771)-K06400-spoIVCA; site-specific DNA recombinase",1695
"NODE_5459_length_3771_cov_4.495156||full_3-(1744..3438)-K06400-spoIVCA; site-specific DNA recombinase",1695
"NODE_11402_length_2270_cov_8.526862||full_3-(582..1817)-K14059-int; integrase",1236
"NODE_6258_length_3447_cov_4.900649||full_6-(2758..3336)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",579
"NODE_762_length_12777_cov_5.820704||full_26-(10817..12265)-K06400-spoIVCA; site-specific DNA recombinase",1449
"NODE_3897_length_4740_cov_4.470011||full_7-(2897..3772)-K04763-xerD; integrase/recombinase XerD",876
"NODE_172_length_25620_cov_5.378995||full_34-(18612..20333)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1722
"NODE_18_length_51016_cov_39.404348||full_4-(2584..3405)-K14059-int; integrase",822
"NODE_5361_length_3815_cov_3.553989||full_7-(2775..3815)-K04763-xerD; integrase/recombinase XerD",1041
"NODE_2526_length_6272_cov_44.345343||full_9-(4592..5626)-K07482-K07482; transposase, IS30 family",1035
"NODE_4700_length_4151_cov_5.560303||full_3-(749..2338)-K06400-spoIVCA; site-specific DNA recombinase",1590
"NODE_4700_length_4151_cov_5.560303||full_4-(2338..3198)-K06400-spoIVCA; site-specific DNA recombinase",861
"NODE_4700_length_4151_cov_5.560303||full_5-(3195..3986)-K06400-spoIVCA; site-specific DNA recombinase",792
"NODE_6001_length_3535_cov_10.370402||full_5-(2570..3466)-K04763-xerD; integrase/recombinase XerD",897
"NODE_6170_length_3476_cov_45.138848||full_4-(1575..2594)-K04763-xerD; integrase/recombinase XerD",1020
"NODE_13780_length_1984_cov_2.825298||full_3-(950..1669)-K07482-K07482; transposase, IS30 family",720
"NODE_4396_length_4367_cov_3.957328||full_6-(2692..4212)-K06400-spoIVCA; site-specific DNA recombinase",1521
"NODE_2998_length_5604_cov_12.792395||full_4-(2262..3773)-K06400-spoIVCA; site-specific DNA recombinase",1512
"NODE_2998_length_5604_cov_12.792395||full_5-(3758..5341)-K06400-spoIVCA; site-specific DNA recombinase",1584
"NODE_659_length_13959_cov_67.727201||full_2-(313..1971)-K06400-spoIVCA; site-specific DNA recombinase",1659
"NODE_3765_length_4837_cov_26.173149||full_2-(734..2218)-K06400-spoIVCA; site-specific DNA recombinase",1485
"NODE_12853_length_2083_cov_4.101085||full_1-(1..954)-K06400-spoIVCA; site-specific DNA recombinase",954
"NODE_5599_length_3702_cov_7.501234||full_1-(1..429)-K06400-spoIVCA; site-specific DNA recombinase",429
"NODE_4525_length_4271_cov_7.538899||full_6-(3536..4267)-K06400-spoIVCA; site-specific DNA recombinase",732
"NODE_2487_length_6337_cov_10.775708||0_partial_5-(2847..4136)-K14059-int; integrase",1290
"NODE_6928_length_3209_cov_18.692137||full_2-(508..1395)-K14059-int; integrase",888
"NODE_2901_length_5712_cov_5.680219||full_2-(475..1638)-K07486-K07486; transposase",1164
"NODE_2901_length_5712_cov_5.680219||full_6-(3815..4405)-K07493-K07493; putative transposase",591
"NODE_120_length_30153_cov_34.733537||full_41-(26514..28475)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1962
"NODE_3996_length_4652_cov_8.430063||full_2-(398..2101)-K06400-spoIVCA; site-specific DNA recombinase",1704
"NODE_3996_length_4652_cov_8.430063||full_3-(2098..3708)-K06400-spoIVCA; site-specific DNA recombinase",1611
"NODE_3996_length_4652_cov_8.430063||full_4-(3698..4081)-K06400-spoIVCA; site-specific DNA recombinase",384
"NODE_71_length_35352_cov_22.388645||full_54-(31555..33108)-K06400-spoIVCA; site-specific DNA recombinase",1554
"NODE_71_length_35352_cov_22.388645||full_56-(33781..35280)-K06400-spoIVCA; site-specific DNA recombinase",1500
"NODE_127_length_28342_cov_6.583024||full_7-(2597..4318)-K06400-spoIVCA; site-specific DNA recombinase",1722
"NODE_127_length_28342_cov_6.583024||full_42-(23620..24219)-K04763-xerD; integrase/recombinase XerD",600
"NODE_4739_length_4129_cov_8.990427||full_3-(417..1697)-K06400-spoIVCA; site-specific DNA recombinase",1281
"NODE_4739_length_4129_cov_8.990427||full_4-(1840..3603)-K06400-spoIVCA; site-specific DNA recombinase",1764
"NODE_1584_length_8360_cov_16.633715||full_2-(254..1927)-K06400-spoIVCA; site-specific DNA recombinase",1674
"NODE_1584_length_8360_cov_16.633715||full_3-(1975..2202)-K06400-spoIVCA; site-specific DNA recombinase",228
"NODE_12_length_55476_cov_18.809964||full_1 20974-54639/54639_1-(109..2061)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1953
"NODE_12_length_55476_cov_18.809964||full_1 20974-54639/54639_45-(29643..30635)-K04763-xerD; integrase/recombinase XerD",993
"NODE_6166_length_3477_cov_18.384570||full_4-(1365..2405)-K04763-xerD; integrase/recombinase XerD",1041
"NODE_6451_length_3371_cov_5.856454||full_1-(1..369)-K03733-xerC; integrase/recombinase XerC",369
"NODE_1226_length_9628_cov_7.063930||full_6-(2956..4764)-VOG15133-REFSEQ integrase core domain protein",1809
"NODE_1888_length_7542_cov_4.230934||full_16-(6541..7539)-K06400-spoIVCA; site-specific DNA recombinase",999
"NODE_5935_length_3561_cov_6.001141||full_5-(2602..3558)-K06400-spoIVCA; site-specific DNA recombinase",957
"NODE_5517_length_3740_cov_4.132700||full_1-(1..1617)-K06400-spoIVCA; site-specific DNA recombinase",1617
"NODE_2009_length_7271_cov_11.152023||full_11-(4734..6803)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2070
"NODE_2188_length_6890_cov_5.953767||full_1-(1..243)-K04763-xerD; integrase/recombinase XerD",243
"NODE_5085_length_3940_cov_6.046847||full_2-(490..1290)-K04763-xerD; integrase/recombinase XerD",801
"NODE_143_length_27449_cov_168.743155||full_4-(1058..2602)-K06400-spoIVCA; site-specific DNA recombinase",1545
"NODE_3520_length_5052_cov_6.896738||full_3-(1481..2764)-K07486-K07486; transposase",1284
"NODE_1_length_148046_cov_28.923076||full_64-(56253..57440)-K07496-K07496; putative transposase",1188
"NODE_1_length_148046_cov_28.923076||full_93-(100935..102146)-K07496-K07496; putative transposase",1212
"NODE_1_length_148046_cov_28.923076||full_119-(122256..123407)-K07496-K07496; putative transposase",1152
"NODE_1_length_148046_cov_28.923076||full_137-(131526..132713)-K07496-K07496; putative transposase",1188
"NODE_1674_length_8107_cov_9.482861||full_4-(1872..2516)-K04763-xerD; integrase/recombinase XerD",645
"NODE_318_length_19230_cov_6.790196||full_10-(3169..4605)-K06400-spoIVCA; site-specific DNA recombinase",1437
"NODE_6189_length_3471_cov_4.499415||full_3-(1496..2545)-K07482-K07482; transposase, IS30 family",1050
"NODE_7095_length_3155_cov_13.577419||full_4-(1259..1549)-K07483-K07483; transposase",291
"NODE_7095_length_3155_cov_13.577419||full_5-(1618..2436)-K07497-K07497; putative transposase",819
"NODE_718_length_13231_cov_5.037341||full_2-(422..2536)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2115
"NODE_1995_length_7301_cov_8.301684||full_5-(2933..4552)-K06400-spoIVCA; site-specific DNA recombinase",1620
"NODE_1995_length_7301_cov_8.301684||full_6-(4557..6239)-K06400-spoIVCA; site-specific DNA recombinase",1683
"NODE_1995_length_7301_cov_8.301684||full_7-(6274..7299)-K06400-spoIVCA; site-specific DNA recombinase",1026
"NODE_3128_length_5464_cov_5.638380||full_1-(1..1518)-K06400-spoIVCA; site-specific DNA recombinase",1518
"NODE_3128_length_5464_cov_5.638380||full_2-(1520..3205)-K06400-spoIVCA; site-specific DNA recombinase",1686
"NODE_3128_length_5464_cov_5.638380||full_3-(3205..4779)-K06400-spoIVCA; site-specific DNA recombinase",1575
"NODE_3357_length_5208_cov_6.706385||full_1-(1..1491)-K06400-spoIVCA; site-specific DNA recombinase",1491
"NODE_4157_length_4537_cov_56.993307||full_2-(540..1853)-K07482-K07482; transposase, IS30 family",1314
"NODE_3340_length_5225_cov_4.622050||full_4-(1445..2221)-K06400-spoIVCA; site-specific DNA recombinase",777
"NODE_3340_length_5225_cov_4.622050||full_5-(2218..3777)-K06400-spoIVCA; site-specific DNA recombinase",1560
"NODE_9402_length_2595_cov_5.192913||full_2-(541..2055)-K06400-spoIVCA; site-specific DNA recombinase",1515
"NODE_162_length_26168_cov_10.681346||full_2-(388..1011)-PF03050.14-Transposase IS66 family",624
"NODE_21029_length_1468_cov_3.646143||full_1-(1..357)-K03733-xerC; integrase/recombinase XerC",357
"NODE_538_length_15295_cov_6.261417||full_7-(2815..4875)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2061
"NODE_81_length_34213_cov_59.831372||full_fragment_1_23-(16901..18268)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1368
"NODE_256_length_21359_cov_37.107914||full_1 1-15570/20879_2-(503..1501)-K03733-xerC; integrase/recombinase XerC",999
"NODE_256_length_21359_cov_37.107914||full_1 1-15570/20879_4-(1944..2279)-K07493-K07493; putative transposase",336
"NODE_256_length_21359_cov_37.107914||full_1 1-15570/20879_5-(2349..2633)-K07493-K07493; putative transposase",285
"NODE_256_length_21359_cov_37.107914||full_1 1-15570/20879_6-(2730..3158)-K07493-K07493; putative transposase",429
"NODE_3272_length_5294_cov_3.403321||full_3-(1045..2088)-K04763-xerD; integrase/recombinase XerD",1044
"NODE_6829_length_3240_cov_2.396860||full_1-(1..846)-K07482-K07482; transposase, IS30 family",846
"NODE_13774_length_1984_cov_4.065319||full_1-(1..795)-K06400-spoIVCA; site-specific DNA recombinase",795
"NODE_6504_length_3355_cov_3.539091||full_1-(1..711)-K04763-xerD; integrase/recombinase XerD",711
"NODE_3890_length_4749_cov_3.289305||full_1-(1..606)-K06400-spoIVCA; site-specific DNA recombinase",606
"NODE_4815_length_4084_cov_4.818317||full_2-(177..1880)-K06400-spoIVCA; site-specific DNA recombinase",1704
"NODE_4815_length_4084_cov_4.818317||full_3-(1882..3528)-K06400-spoIVCA; site-specific DNA recombinase",1647
"NODE_4851_length_2058_cov_6.092361||full_1-(1..489)-K06400-spoIVCA; site-specific DNA recombinase",489
"NODE_3566_length_2574_cov_3.464073||full_5-(2229..2528)-PF12762.7-ISXO2-like transposase domain",300
"NODE_2415_length_3496_cov_3.554199||full_7-(3049..3411)-K07482-K07482; transposase, IS30 family",363
"NODE_54_length_27411_cov_6.476422||full_1 1-23727/27408_25-(18505..20571)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2067
"NODE_1670_length_4509_cov_6.389987||full_7-(2697..4358)-PF03050.14-Transposase IS66 family",1662
"NODE_34_length_32593_cov_8.082457||full_1-(1..1053)-K06400-spoIVCA; site-specific DNA recombinase",1053
"NODE_2720_length_3187_cov_7.059706||full_3-(1811..2698)-K14059-int; integrase",888
"NODE_3538_length_2591_cov_2.669558||full_1-(1..999)-K06400-spoIVCA; site-specific DNA recombinase",999
"NODE_318_length_11983_cov_6.839537||full_13-(9917..10972)-K07482-K07482; transposase, IS30 family",1056
"NODE_1265_length_5351_cov_17.956760||full_1-(1..741)-K07496-K07496; putative transposase",741
"NODE_1218_length_5470_cov_5.337396||full_2-(219..1865)-K06400-spoIVCA; site-specific DNA recombinase",1647
"NODE_1218_length_5470_cov_5.337396||full_3-(1862..2728)-K06400-spoIVCA; site-specific DNA recombinase",867
"NODE_1218_length_5470_cov_5.337396||full_4-(2732..4291)-K06400-spoIVCA; site-specific DNA recombinase",1560
"NODE_301_length_12210_cov_4.991937||full_13-(4508..6037)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1530
"NODE_943_length_6481_cov_6.514939||full_9-(4527..4778)-K07482-K07482; transposase, IS30 family",252
"NODE_464_length_9886_cov_5.551928||full_10-(6460..7053)-K21528-gin; serine recombinase [EC:3.1.22.- 6.5.1.-]",594
"NODE_1484_length_4849_cov_6.004172||full_1-(1..531)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",531
"NODE_159_length_17122_cov_5.651784||full_4-(958..2481)-K06400-spoIVCA; site-specific DNA recombinase",1524
"NODE_48_length_28908_cov_385.435137||full_34-(24662..26206)-K06400-spoIVCA; site-specific DNA recombinase",1545
"NODE_615_length_8482_cov_4.292631||full_1-(1..651)-K14059-int; integrase",651
"NODE_1481_length_4851_cov_6.631151||full_8-(3109..4776)-K06400-spoIVCA; site-specific DNA recombinase",1668
"NODE_16_length_57831_cov_32.193004||full_3-(487..2223)-K06400-spoIVCA; site-specific DNA recombinase",1737
"NODE_365_length_21096_cov_7.590086||full_4-(1093..2220)-K04763-xerD; integrase/recombinase XerD",1128
"NODE_13_length_63035_cov_124.816497||full_1 12869-51249/63008_59-(36801..38381)-K06400-spoIVCA; site-specific DNA recombinase",1581
"NODE_3601_length_5039_cov_43.613764||full_1-(1..507)-K06400-spoIVCA; site-specific DNA recombinase",507
"NODE_577_length_17507_cov_150.725132||full_4-(1893..2495)-K04763-xerD; integrase/recombinase XerD",603
"NODE_6372_length_3098_cov_31.295761||full_1-(1..741)-K07496-K07496; putative transposase",741
"NODE_1079_length_12239_cov_4.950591||full_3-(461..2149)-K06400-spoIVCA; site-specific DNA recombinase",1689
"NODE_5236_length_3668_cov_5.658456||full_5-(1697..2572)-K04763-xerD; integrase/recombinase XerD",876
"NODE_2122_length_7632_cov_111.204566||full_10-(5300..7120)-VOG15133-REFSEQ integrase core domain protein",1821
"NODE_88_length_35667_cov_36.184067||full_55-(33850..35604)-K06400-spoIVCA; site-specific DNA recombinase",1755
"NODE_39_length_45985_cov_39.573568||full_1 23823-45876/45876_1-(146..1180)-K07482-K07482; transposase, IS30 family",1035
"NODE_1059_length_12355_cov_35.971220||full_5-(5185..5439)-K07482-K07482; transposase, IS30 family",255
"NODE_86_length_35955_cov_63.709359||full_17-(13491..14510)-K14059-int; integrase",1020
"NODE_86_length_35955_cov_63.709359||full_21-(15787..17400)-K06400-spoIVCA; site-specific DNA recombinase",1614
"NODE_86_length_35955_cov_63.709359||full_22-(17388..18671)-K06400-spoIVCA; site-specific DNA recombinase",1284
"NODE_86_length_35955_cov_63.709359||full_36-(31996..32565)-K07482-K07482; transposase, IS30 family",570
"NODE_2751_length_6180_cov_8.318367||full_4-(1770..3281)-K06400-spoIVCA; site-specific DNA recombinase",1512
"NODE_2751_length_6180_cov_8.318367||full_5-(3274..4854)-K06400-spoIVCA; site-specific DNA recombinase",1581
"NODE_1240_length_11215_cov_45.916756||full_6-(2337..4289)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1953
"NODE_134_length_31147_cov_14.408369||full_1 20161-31105/31105_6-(2346..2999)-PF09588.10-YqaJ-like viral recombinase domain",654
"NODE_1800_length_8665_cov_36.874564||full_2-(94..1092)-K04763-xerD; integrase/recombinase XerD",999
"NODE_1912_length_8249_cov_16.487308||full_13-(5934..6959)-K04763-xerD; integrase/recombinase XerD",1026
"NODE_1912_length_8249_cov_16.487308||full_14-(6952..7920)-K04763-xerD; integrase/recombinase XerD",969
"NODE_4084_length_4540_cov_9.200892||full_5-(3069..4022)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",954
"NODE_1254_length_11140_cov_76.159585||full_8-(10210..10818)-PF03050.14-Transposase IS66 family",609
"NODE_3063_length_5689_cov_11.996805||full_6-(4385..5536)-K07495-K07495; putative transposase",1152
"NODE_5317_length_3621_cov_11.534492||full_1-(1..831)-K06400-spoIVCA; site-specific DNA recombinase",831
"NODE_5317_length_3621_cov_11.534492||full_2-(782..2347)-K06400-spoIVCA; site-specific DNA recombinase",1566
"NODE_7792_length_2580_cov_2.587327||full_4-(1754..2578)-K06400-spoIVCA; site-specific DNA recombinase",825
"NODE_1857_length_8461_cov_24.018796||full_15-(6729..7661)-K14059-int; integrase",933
"NODE_3256_length_5450_cov_5.912512||full_3-(1156..1692)-K04763-xerD; integrase/recombinase XerD",537
"NODE_1839_length_8534_cov_6.672721||full_4-(2113..3054)-PF12784.7-PD-(D/E)XK nuclease family transposase",942
"NODE_178_length_28352_cov_31.723716||0_partial_1 1-11855/13980_12-(10245..11855)-K06400-spoIVCA; site-specific DNA recombinase",1611
"NODE_5_length_77999_cov_7.085330||full_99-(74528..75748)-K03733-xerC; integrase/recombinase XerC",1221
"NODE_8411_length_2412_cov_3.053034||full_4-(1114..2409)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1296
"NODE_3086_length_5652_cov_190.678042||full_5-(1781..2212)-PF01797.16-Transposase IS200 like",432
"NODE_4664_length_4039_cov_3.440261||full_5-(2506..3270)-K04763-xerD; integrase/recombinase XerD",765
"NODE_2689_length_6312_cov_7.372063||full_15-(5231..6064)-PF12784.7-PD-(D/E)XK nuclease family transposase",834
"NODE_6980_length_2846_cov_3.536725||full_1-(1..1539)-K06400-spoIVCA; site-specific DNA recombinase",1539
"NODE_6980_length_2846_cov_3.536725||full_2-(1517..1789)-K06400-spoIVCA; site-specific DNA recombinase",273
"NODE_4_length_81136_cov_33.309370||full_1 1-66820/81133_3-(598..2121)-K06400-spoIVCA; site-specific DNA recombinase",1524
"NODE_4_length_81136_cov_33.309370||full_1 1-66820/81133_6-(3422..5029)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1608
"NODE_3595_length_5045_cov_16.223848||full_1-(1..921)-K03733-xerC; integrase/recombinase XerC",921
"NODE_3595_length_5045_cov_16.223848||full_3-(2286..2942)-K03733-xerC; integrase/recombinase XerC",657
"NODE_4437_length_4226_cov_122.417166||full_2-(684..1115)-PF01797.16-Transposase IS200 like",432
"NODE_1298_length_10933_cov_53.825336||full_5-(2604..3095)-K14059-int; integrase",492
"NODE_2317_length_7140_cov_4.270572||full_1-(1..357)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",357
"NODE_5387_length_3585_cov_8.943909||full_7-(3384..3551)-K06400-spoIVCA; site-specific DNA recombinase",168
"NODE_4258_length_4382_cov_32.815808||full_7-(2967..4055)-K07482-K07482; transposase, IS30 family",1089
"NODE_588_length_17364_cov_18.356578||full_28-(16470..17363)-K07482-K07482; transposase, IS30 family",894
"NODE_3144_length_5568_cov_11.931253||full_3-(515..2128)-K06400-spoIVCA; site-specific DNA recombinase",1614
"NODE_3144_length_5568_cov_11.931253||full_4-(2130..3776)-K06400-spoIVCA; site-specific DNA recombinase",1647
"NODE_3144_length_5568_cov_11.931253||full_5-(3769..5310)-K06400-spoIVCA; site-specific DNA recombinase",1542
"NODE_3934_length_4718_cov_5.738795||full_8-(3444..4463)-K04763-xerD; integrase/recombinase XerD",1020
