"Contig_number","Sample_id","IMG_name","Source","Viruse_type","Bacteria_Host","Virulent","Temperate","Phacts_result","Probability","Standard_deviation","GD","Diet","Group","num_seqs","bac_result","Mapped.Reads.Number","Contig_Abundance","Bacteria_Host_G","Contig_number2","Contig_name2"
"NODE_12929_length_1231_cov_2.481293||full","L1EGH020937","IMGVR_UViG_3300029855_000001|3300029855|Ga0245295_1000114","Host-associated;Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",0.811878201654615,0.188121798345387,"Lytic",0.500899100899101,0.0153936945328737,"D10","FUC","FUC_D10",5160896,"Lytic",31,6.00670891256092,"Parabacteroides","NODE_12929_length_1231_cov_2.4","NODE_12929_length_1231_cov_2.4"
"NODE_12941_length_1748_cov_3.435913||lt2gene","L1EHE1100160","IMGVR_UViG_3300045988_065280|3300045988|Ga0495776_012450","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Temperate",0.513786213786214,0.0299835134504157,"D18","HFD","HFD_D18",5476939,NA,65,11.8679430243791,"Parabacteroides","NODE_12941_length_1748_cov_3.4","NODE_12941_length_1748_cov_3.4"
"NODE_12951_length_1770_cov_4.541108||full","L1EGH020947","IMGVR_UViG_3300045988_055428|3300045988|Ga0495776_119895","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Lytic",0.504795204795205,0.0233264059265864,"D18","FUC","FUC_D18",6254490,NA,84,13.4303516353851,"Parabacteroides","NODE_12951_length_1770_cov_4.5","NODE_12951_length_1770_cov_4.5"
"NODE_12952_length_1409_cov_4.971196||full","L1HGH010564","IMGVR_UViG_3300035327_000060|3300035327|Ga0247207_000589","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;",NA,NA,"Lytic",0.500699300699301,0.0245022179052584,"D10","CON","CON_D10",13862529,NA,83,5.98736348901416,"Muribaculum","NODE_12952_length_1409_cov_4.9","NODE_12952_length_1409_cov_4.9"
"NODE_13_length_42099_cov_15.692417||full","L1EGH020943","IMGVR_UViG_3300045988_049462|3300045988|Ga0495776_075880","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Temperate",0.505494505494505,0.0179542465091023,"D14","FUC","FUC_D14",3632789,NA,6976,1920.28769080726,"Parabacteroides","NODE_13_length_42099_cov_15.69","NODE_13_length_42099_cov_15.69"
"NODE_130_length_24274_cov_12.733102||full","L1HGH010566","IMGVR_UViG_2657244987_000003|2657244987|2657254159|128774-152217",";;;","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C sp000765665",NA,NA,"Lytic",0.506093906093906,0.0229126492579638,"D10","CON","CON_D10",14405965,NA,3242,225.045666847032,"Helicobacter_C","NODE_130_length_24274_cov_12.7","NODE_130_length_24274_cov_12.7"
"NODE_13040_length_1223_cov_3.668664||full","L1EGH020937","IMGVR_UViG_2895274309_000011|2895274309|2895274499|12190-30966","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri",0.811878201654615,0.188121798345387,"Lytic",0.500799200799201,0.0172341426140393,"D10","FUC","FUC_D10",5160896,"Lytic",45,8.71941616339488,"Duncaniella","NODE_13040_length_1223_cov_3.6","NODE_13040_length_1223_cov_3.6"
"NODE_13042_length_1007_cov_5.042017||full","L1HGH010571","IMGVR_UViG_3300029417_000088|3300029417|Ga0243409_102518","Host-associated;Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;",NA,NA,"Lytic",0.502397602397602,0.0213536317483636,"D14","CON","CON_D14",2848358,NA,50,17.5539732014024,"Bacteroides","NODE_13042_length_1007_cov_5.0","NODE_13042_length_1007_cov_5.0"
"NODE_13069_length_1502_cov_5.151348||full","L1EGH020951","IMGVR_UViG_3300019370_000023|3300019370|Ga0196862_111906","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;",NA,NA,"Lytic",0.507992007992008,0.0213853892393683,"D18","FUC","FUC_D18",5400186,NA,101,18.7030594872103,"Muribaculum","NODE_13069_length_1502_cov_5.1","NODE_13069_length_1502_cov_5.1"
"NODE_13098_length_1178_cov_1.707925||full","L1HGH010569","IMGVR_UViG_2895274309_000011|2895274309|2895274499|12190-30966","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri",NA,NA,"Temperate",0.507592407592408,0.0209764043846566,"D14","CON","CON_D14",7575629,NA,22,2.90404928752451,"Duncaniella","NODE_13098_length_1178_cov_1.7","NODE_13098_length_1178_cov_1.7"
"NODE_13098_length_2457_cov_4.508326||full","L1EGH020939","IMGVR_UViG_3300006099_000473|3300006099|Ga0080690_1000070|252-18885","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;",0.857764317180617,0.142235682819383,"Lytic",0.505094905094905,0.0224684186247979,"D10","FUC","FUC_D10",3309510,"Lytic",120,36.2591441029034,"Ligilactobacillus","NODE_13098_length_2457_cov_4.5","NODE_13098_length_2457_cov_4.5"
"NODE_13098_length_2753_cov_4.030764||full","L1HGH010573","IMGVR_UViG_3300045988_124774|3300045988|Ga0495776_093604","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;",NA,NA,"Lytic",0.505294705294705,0.0144686249672181,"D18","CON","CON_D18",9970469,NA,117,11.7346536055626,"Faecalibacillus","NODE_13098_length_2753_cov_4.0","NODE_13098_length_2753_cov_4.0"
"NODE_13107_length_1823_cov_3.286199||full","L1HGH010570","IMGVR_UViG_3300045988_048329|3300045988|Ga0495776_000521","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Lytic",0.508691308691309,0.0176164415146111,"D14","CON","CON_D14",5615729,NA,65,11.5746326078057,"Parabacteroides","NODE_13107_length_1823_cov_3.2","NODE_13107_length_1823_cov_3.2"
"NODE_1312_length_7883_cov_5.720491||full","L1EHE1100160","IMGVR_UViG_3300045988_092041|3300045988|Ga0495776_009703","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Lytic",0.500599400599401,0.0219437112982843,"D18","HFD","HFD_D18",5476939,NA,478,87.2750271638957,"Parabacteroides","NODE_1312_length_7883_cov_5.72","NODE_1312_length_7883_cov_5.72"
"NODE_13136_length_1287_cov_2.110390||lt2gene","L1HGH010563","IMGVR_UViG_3300045988_005380|3300045988|Ga0495776_116368","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;",NA,NA,"Temperate",0.503896103896104,0.016972436029247,"D10","CON","CON_D10",3065098,NA,29,9.46136143118425,"Prevotella","NODE_13136_length_1287_cov_2.1","NODE_13136_length_1287_cov_2.1"
"NODE_132_length_20789_cov_31.162776||full","L1EGH020938","IMGVR_UViG_3300045988_022496|3300045988|Ga0495776_138716","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",0.904693468048653,0.0953065319513474,"Temperate",0.502697302697303,0.0251970154172778,"D10","FUC","FUC_D10",3904971,"Lytic",6610,1692.71423526577,"Parabacteroides","NODE_132_length_20789_cov_31.1","NODE_132_length_20789_cov_31.1"
"NODE_13229_length_1168_cov_5.353100||full","L1HGH010569","IMGVR_UViG_3300045988_040753|3300045988|Ga0495776_000035","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Lytic",0.505594405594406,0.0111194690149781,"D14","CON","CON_D14",7575629,NA,68,8.97615234325757,"Parabacteroides","NODE_13229_length_1168_cov_5.3","NODE_13229_length_1168_cov_5.3"
"NODE_1323_length_4573_cov_5.077911||full","L1HGH010567","IMGVR_UViG_2791355303_000001|2791355303|2791389248","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C japonicus",NA,NA,"Lytic",0.505594405594406,0.0215165891771153,"D14","CON","CON_D14",9815966,NA,259,26.3855844651459,"Helicobacter_C","NODE_1323_length_4573_cov_5.07","NODE_1323_length_4573_cov_5.07"
"NODE_13260_length_1797_cov_2.327784||full","L1HGH010576","IMGVR_UViG_2895274309_000007|2895274309|2895274455|41243-54702","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri",NA,NA,"Lytic",0.504695304695305,0.0267829168204016,"D18","CON","CON_D18",1348974,NA,46,34.0999900665246,"Duncaniella","NODE_13260_length_1797_cov_2.3","NODE_13260_length_1797_cov_2.3"
"NODE_13304_length_1843_cov_7.463647||full","L1EHE1100156","IMGVR_UViG_3300035327_000060|3300035327|Ga0247207_000589","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;",NA,NA,"Lytic",0.505194805194805,0.0162812645629535,"D14","HFD","HFD_D14",3688255,NA,178,48.261305142947,"Muribaculum","NODE_13304_length_1843_cov_7.4","NODE_13304_length_1843_cov_7.4"
"NODE_13315_length_1505_cov_2.260690||full","L1HGH010565","IMGVR_UViG_2895274309_000009|2895274309|2895274460|5757-51336","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri",NA,NA,"Temperate",0.503096903096903,0.0204938913054291,"D10","CON","CON_D10",12598477,NA,39,3.09561227122929,"Duncaniella","NODE_13315_length_1505_cov_2.2","NODE_13315_length_1505_cov_2.2"
"NODE_13329_length_1271_cov_10.633224||full","L1HGH010562","IMGVR_UViG_3300019370_000023|3300019370|Ga0196862_111906","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;",NA,NA,"Temperate",0.50959040959041,0.0135249387849911,"D10","CON","CON_D10",3496439,NA,150,42.9007913479972,"Muribaculum","NODE_13329_length_1271_cov_10.","NODE_13329_length_1271_cov_10."
"NODE_13329_length_1686_cov_18.378296||full","L1EHE1100152","IMGVR_UViG_3300045988_140741|3300045988|Ga0495776_045771","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;",NA,NA,"Temperate",0.502797202797203,0.0136688017354154,"D10","HFD","HFD_D10",5747820,NA,317,55.1513443357656,"Romboutsia","NODE_13329_length_1686_cov_18.","NODE_13329_length_1686_cov_18."
"NODE_13338_length_1248_cov_1.919531||full","L1EHE1100145","IMGVR_UViG_2895274309_000009|2895274309|2895274460|5757-51336","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri",NA,NA,"Temperate",0.507792207792208,0.0242205726827772,"D0","HFD","HFD_D0",12059949,NA,24,1.99005816691265,"Duncaniella","NODE_13338_length_1248_cov_1.9","NODE_13338_length_1248_cov_1.9"
"NODE_13344_length_1599_cov_2.400907||full","L1EGH020938","IMGVR_UViG_2895274309_000007|2895274309|2895274455|41243-54702","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri",0.816834148791178,0.183165851208823,"Temperate",0.501198801198801,0.015386237054015,"D10","FUC","FUC_D10",3904971,"Lytic",39,9.98727007191603,"Duncaniella","NODE_13344_length_1599_cov_2.4","NODE_13344_length_1599_cov_2.4"
"NODE_1338_length_5355_cov_9.839434||full","L1HGH010558","IMGVR_UViG_3300035327_000060|3300035327|Ga0247207_000589","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;",NA,NA,"Temperate",0.505894105894106,0.0190083403976688,"D0","CON","CON_D0",2217375,NA,896,404.081402559333,"Muribaculum","NODE_1338_length_5355_cov_9.83","NODE_1338_length_5355_cov_9.83"
"NODE_13384_length_1817_cov_3.616913||full","L1EGH020935","IMGVR_UViG_2837668229_000005|2837668229|2837668229|1-60990",";;;","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris",0.813919712288438,0.186080287711563,"Temperate",0.5,0.0228387010546136,"D0","FUC","FUC_D0",6954542,"Lytic",68,9.77778263471556,"Duncaniella","NODE_13384_length_1817_cov_3.6","NODE_13384_length_1817_cov_3.6"
"NODE_13406_length_1498_cov_2.993763||full","L1HGH010565","IMGVR_UViG_2895274309_000008|2895274309|2895274456|65928-123515","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri",NA,NA,"Lytic",0.502197802197802,0.0191540043166278,"D10","CON","CON_D10",12598477,NA,45,3.57186031295688,"Duncaniella","NODE_13406_length_1498_cov_2.9","NODE_13406_length_1498_cov_2.9"
"NODE_13427_length_1192_cov_2.955145||full","L1EGH020937","IMGVR_UViG_3300045988_077664|3300045988|Ga0495776_138276","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",0.811878201654615,0.188121798345387,"Lytic",0.506093906093906,0.0181763283365341,"D10","FUC","FUC_D10",5160896,"Lytic",35,6.78176812708491,"Parabacteroides","NODE_13427_length_1192_cov_2.9","NODE_13427_length_1192_cov_2.9"
"NODE_13434_length_1496_cov_3.385843||full","L1HGH010565","IMGVR_UViG_3300005460_000729|3300005460|Ga0073908_1001104|5702-20064","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;",NA,NA,"Lytic",0.507992007992008,0.02004111538169,"D10","CON","CON_D10",12598477,NA,72,5.714976500731,"Anaerotignum","NODE_13434_length_1496_cov_3.3","NODE_13434_length_1496_cov_3.3"
"NODE_13438_length_1871_cov_4.924009||lt2gene","L1EGH020934","IMGVR_UViG_2791355303_000001|2791355303|2791389248","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C japonicus",0.811878201654615,0.188121798345387,"Temperate",0.501298701298701,0.0191891423832855,"D0","FUC","FUC_D0",9033759,"Lytic",114,12.6193315540076,"Helicobacter_C","NODE_13438_length_1871_cov_4.9","NODE_13438_length_1871_cov_4.9"
"NODE_13585_length_1234_cov_2.993215||lt2gene","L1EHE1100145","IMGVR_UViG_3300035426_000043|3300035426|Ga0247177_00293","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum;",NA,NA,"Lytic",0.505794205794206,0.0192008407824815,"D0","HFD","HFD_D0",12059949,NA,37,3.068006340657,"Faecalibaculum","NODE_13585_length_1234_cov_2.9","NODE_13585_length_1234_cov_2.9"
"NODE_13589_length_1434_cov_10.075417||full","L1HGH010557","IMGVR_UViG_2899584989_000008|2899584989|2899585093|137651-175595","Host-associated;Mammals;Unclassified;Unclassified","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis",NA,NA,"Lytic",0.501398601398601,0.021057130647243,"D0","CON","CON_D0",3289088,NA,148,44.9972758405978,"Parabacteroides","NODE_13589_length_1434_cov_10.","NODE_13589_length_1434_cov_10."
"NODE_136_length_29865_cov_13.527139||full","L1HGH010559","IMGVR_UViG_3300045988_156927|3300045988|Ga0495776_040651","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;",NA,NA,"Lytic",0.502597402597403,0.010309090117201,"D0","CON","CON_D0",1732889,NA,4253,2454.28299215934,"Romboutsia","NODE_136_length_29865_cov_13.5","NODE_136_length_29865_cov_13.5"
"NODE_13629_length_1245_cov_2.757983||full","L1EGH020948","IMGVR_UViG_2837005551_000011|2837005551|2837005555|1059773-1119781","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri",NA,NA,"Temperate",0.503296703296703,0.0164322758800816,"D18","FUC","FUC_D18",4518638,NA,44,9.73744743438178,"Duncaniella","NODE_13629_length_1245_cov_2.7","NODE_13629_length_1245_cov_2.7"
"NODE_13657_length_1099_cov_4.229885||lt2gene","L1EHE1100155","IMGVR_UViG_2657244987_000003|2657244987|2657254159|128774-152217",";;;","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C sp000765665",NA,NA,"Lytic",0.509190809190809,0.0197390564533949,"D14","HFD","HFD_D14",8300758,NA,47,5.66213350636171,"Helicobacter_C","NODE_13657_length_1099_cov_4.2","NODE_13657_length_1099_cov_4.2"
"NODE_13666_length_1862_cov_7.328722||full","L1HGH010566","IMGVR_UViG_3300010163_000154|3300010163|Ga0136175_10006554","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;",NA,NA,"Lytic",0.507792207792208,0.0228203405615553,"D10","CON","CON_D10",14405965,NA,143,9.92644366413496,"Ligilactobacillus","NODE_13666_length_1862_cov_7.3","NODE_13666_length_1862_cov_7.3"
"NODE_13676_length_1660_cov_8.649221||full","L1EHE1100152","IMGVR_UViG_3300045988_067567|3300045988|Ga0495776_024110","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;",NA,NA,"Lytic",0.502197802197802,0.0252336262055446,"D10","HFD","HFD_D10",5747820,NA,170,29.5764307163412,"Collinsella","NODE_13676_length_1660_cov_8.6","NODE_13676_length_1660_cov_8.6"
"NODE_1372_length_6198_cov_27.316621||full","L1EGH020948","IMGVR_UViG_3300019370_000023|3300019370|Ga0196862_111906","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;",NA,NA,"Lytic",0.5003996003996,0.0245374250372742,"D18","FUC","FUC_D18",4518638,NA,1853,410.079320361578,"Muribaculum","NODE_1372_length_6198_cov_27.3","NODE_1372_length_6198_cov_27.3"
"NODE_13746_length_1084_cov_3.450923||full","L1EHE1100149","IMGVR_UViG_3300045988_156927|3300045988|Ga0495776_040651","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;",NA,NA,"Lytic",0.500999000999001,0.0154134555891594,"D10","HFD","HFD_D10",7600927,NA,36,4.73626440564421,"Romboutsia","NODE_13746_length_1084_cov_3.4","NODE_13746_length_1084_cov_3.4"
"NODE_13762_length_1034_cov_6.373851||full","L1EGH020943","IMGVR_UViG_3300023488_000168|3300023488|Ga0257039_10069|43928-112517","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;",NA,NA,"Lytic",0.510689310689311,0.0158447983160095,"D14","FUC","FUC_D14",3632789,NA,65,17.8925888621662,"Bacteroides","NODE_13762_length_1034_cov_6.3","NODE_13762_length_1034_cov_6.3"
"NODE_13876_length_1076_cov_3.102840||full","L1EHE1100149","IMGVR_UViG_2517572003_000001|2517572003|2517572443|7594-53773","Host-associated;Mammals;Digestive system;Unclassified","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus",NA,NA,"Lytic",0.508391608391608,0.0186545883009243,"D10","HFD","HFD_D10",7600927,NA,33,4.34157570517386,"Ligilactobacillus","NODE_13876_length_1076_cov_3.1","NODE_13876_length_1076_cov_3.1"
"NODE_1389_length_4623_cov_7.897110||full","L1EHE1100154","IMGVR_UViG_2791355303_000001|2791355303|2791389248","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C japonicus",NA,NA,"Lytic",0.508091908091908,0.0145058247499993,"D14","HFD","HFD_D14",10257673,NA,386,37.6303670432855,"Helicobacter_C","NODE_1389_length_4623_cov_7.89","NODE_1389_length_4623_cov_7.89"
"NODE_13893_length_1458_cov_4.145403||full","L1HGH010565","IMGVR_UViG_2895274309_000008|2895274309|2895274456|65928-123515","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri",NA,NA,"Temperate",0.510789210789211,0.0251464645288105,"D10","CON","CON_D10",12598477,NA,61,4.8418550908971,"Duncaniella","NODE_13893_length_1458_cov_4.1","NODE_13893_length_1458_cov_4.1"
