"KEGG.Entry","Metabolism","Pathway","Total.AMGs","Present.AMG.KOs","Sample_id"
"map00260","Amino acid metabolism","Glycine, serine and threonine metabolism",2,"K15633,K17103","L1EGH020944"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",31,"K00558,K00789,K01738,K05396,K17398","L1EGH020944"
"map00310","Amino acid metabolism","Lysine degradation",2,"K01582,K14157","L1EGH020944"
"map00340","Amino acid metabolism","Histidine metabolism",1,"K00765","L1EGH020944"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1EGH020944"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EGH020944"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K12373","L1EGH020944"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EGH020944"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EGH020944"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EGH020944"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",1,"K04487","L1EGH020944"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",2,"K06211,K08281","L1EGH020944"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",1,"K06920","L1EGH020944"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",2,"K01491,K01934","L1EGH020944"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",4,"K09882,K22227","L1EGH020944"
"map01051","Metabolism of terpenoids and polyketides","Biosynthesis of ansamycins",1,"K00615","L1EGH020944"
"map00523","Metabolism of terpenoids and polyketides","Polyketide sugar unit biosynthesis",3,"K00067,K01710","L1EGH020944"
"map01055","Metabolism of terpenoids and polyketides","Biosynthesis of vancomycin group antibiotics",2,"K01710","L1EGH020944"
"map00960","Biosynthesis of other secondary metabolites","Tropane, piperidine and pyridine alkaloid biosynthesis",1,"K01582","L1EGH020944"
"map00521","Biosynthesis of other secondary metabolites","Streptomycin biosynthesis",3,"K00067,K01710","L1EGH020944"
"map00525","Biosynthesis of other secondary metabolites","Acarbose and validamycin biosynthesis",2,"K01710","L1EGH020944"
"map00983","Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes",1,"K01951","L1EGH020944"
"map04122","Folding, sorting and degradation","Sulfur relay system",1,"K04487","L1EGH020944"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",1,"K15633","L1EGH020945"
"map00500","Carbohydrate metabolism","Starch and sucrose metabolism",1,"K01214","L1EGH020945"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",1,"K12373","L1EGH020945"
"map00680","Energy metabolism","Methane metabolism",1,"K15633","L1EGH020945"
"map00920","Energy metabolism","Sulfur metabolism",17,"K00390,K01738","L1EGH020945"
"map00564","Lipid metabolism","Glycerophospholipid metabolism",2,"K01613,K17103","L1EGH020945"
"map00260","Amino acid metabolism","Glycine, serine and threonine metabolism",2,"K15633,K17103","L1EGH020945"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",20,"K00558,K01738,K05396,K17398","L1EGH020945"
"map00310","Amino acid metabolism","Lysine degradation",1,"K01582","L1EGH020945"
"map00330","Amino acid metabolism","Arginine and proline metabolism",2,"K00286,K00657","L1EGH020945"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1EGH020945"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EGH020945"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K12373","L1EGH020945"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EGH020945"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EGH020945"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EGH020945"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",1,"K04487","L1EGH020945"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",2,"K06211,K08281","L1EGH020945"
"map00770","Metabolism of cofactors and vitamins","Pantothenate and CoA biosynthesis",1,"K00859","L1EGH020945"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",4,"K01737,K06920,K09457,K10026","L1EGH020945"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",1,"K22227","L1EGH020945"
"map00960","Biosynthesis of other secondary metabolites","Tropane, piperidine and pyridine alkaloid biosynthesis",1,"K01582","L1EGH020945"
"map04122","Folding, sorting and degradation","Sulfur relay system",1,"K04487","L1EGH020945"
"map00030","Carbohydrate metabolism","Pentose phosphate pathway",1,"K00615","L1EGH020946"
"map00040","Carbohydrate metabolism","Pentose and glucuronate interconversions",1,"K01812","L1EGH020946"
"map00051","Carbohydrate metabolism","Fructose and mannose metabolism",1,"K01628","L1EGH020946"
"map00500","Carbohydrate metabolism","Starch and sucrose metabolism",2,"K01208,K01214","L1EGH020946"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",1,"K12373","L1EGH020946"
"map00710","Energy metabolism","Carbon fixation in photosynthetic organisms",1,"K00615","L1EGH020946"
"map00920","Energy metabolism","Sulfur metabolism",21,"K00390,K00640","L1EGH020946"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",25,"K00558,K00640,K05396,K17398","L1EGH020946"
"map00310","Amino acid metabolism","Lysine degradation",1,"K14157","L1EGH020946"
"map00400","Amino acid metabolism","Phenylalanine, tyrosine and tryptophan biosynthesis",1,"K03785","L1EGH020946"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1EGH020946"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EGH020946"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K12373","L1EGH020946"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EGH020946"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EGH020946"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EGH020946"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",1,"K04487","L1EGH020946"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",2,"K06211,K08281","L1EGH020946"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",1,"K06920","L1EGH020946"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",2,"K09882,K22227","L1EGH020946"
"map00130","Metabolism of cofactors and vitamins","Ubiquinone and other terpenoid-quinone biosynthesis",1,"K00568","L1EGH020946"
"map01051","Metabolism of terpenoids and polyketides","Biosynthesis of ansamycins",1,"K00615","L1EGH020946"
"map04122","Folding, sorting and degradation","Sulfur relay system",2,"K04487,K21029","L1EGH020946"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",2,"K08678,K12373","L1EGH020947"
"map00920","Energy metabolism","Sulfur metabolism",15,"K00390","L1EGH020947"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",13,"K00558,K17398","L1EGH020947"
"map00510","Glycan biosynthesis and metabolism","N-Glycan biosynthesis",1,"K00737","L1EGH020947"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EGH020947"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K12373","L1EGH020947"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EGH020947"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EGH020947"
"map00540","Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",1,"K06041","L1EGH020947"
"map00550","Glycan biosynthesis and metabolism","Peptidoglycan biosynthesis",1,"K01000","L1EGH020947"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EGH020947"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",1,"K09882","L1EGH020947"
"map00998","Biosynthesis of other secondary metabolites","Biosynthesis of secondary metabolites - other antibiotics",1,"K02078","L1EGH020947"
"map04122","Folding, sorting and degradation","Sulfur relay system",1,"K21140","L1EGH020947"
"map00040","Carbohydrate metabolism","Pentose and glucuronate interconversions",1,"K00012","L1EGH020948"
"map00053","Carbohydrate metabolism","Ascorbate and aldarate metabolism",1,"K00012","L1EGH020948"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",1,"K00012","L1EGH020948"
"map00920","Energy metabolism","Sulfur metabolism",10,"K00390","L1EGH020948"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EGH020948"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",8,"K00558","L1EGH020948"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",2,"K06167","L1EGH020948"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",1,"K00952","L1EGH020948"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",5,"K01495,K01737,K03639,K10026","L1EGH020948"
"map04122","Folding, sorting and degradation","Sulfur relay system",2,"K03639,K21029","L1EGH020948"
"map00030","Carbohydrate metabolism","Pentose phosphate pathway",1,"K00615","L1EGH020949"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",1,"K12373","L1EGH020949"
"map00710","Energy metabolism","Carbon fixation in photosynthetic organisms",1,"K00615","L1EGH020949"
"map00920","Energy metabolism","Sulfur metabolism",8,"K00390","L1EGH020949"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EGH020949"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",8,"K00558,K17398","L1EGH020949"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1EGH020949"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EGH020949"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K12373","L1EGH020949"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EGH020949"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EGH020949"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EGH020949"
"map00740","Metabolism of cofactors and vitamins","Riboflavin metabolism",1,"K14654","L1EGH020949"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",1,"K08281","L1EGH020949"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",4,"K01495,K01737,K06920,K10026","L1EGH020949"
"map01051","Metabolism of terpenoids and polyketides","Biosynthesis of ansamycins",1,"K00615","L1EGH020949"
"map00920","Energy metabolism","Sulfur metabolism",4,"K00390","L1EGH020950"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EGH020950"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",1,"K00558","L1EGH020950"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1EGH020950"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",1,"K03639","L1EGH020950"
"map04122","Folding, sorting and degradation","Sulfur relay system",1,"K03639","L1EGH020950"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",2,"K03737,K15633","L1EGH020951"
"map00020","Carbohydrate metabolism","Citrate cycle (TCA cycle)",1,"K03737","L1EGH020951"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01784","L1EGH020951"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",2,"K01784,K12373","L1EGH020951"
"map00620","Carbohydrate metabolism","Pyruvate metabolism",1,"K03737","L1EGH020951"
"map00650","Carbohydrate metabolism","Butanoate metabolism",1,"K03737","L1EGH020951"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K03737","L1EGH020951"
"map00680","Energy metabolism","Methane metabolism",1,"K15633","L1EGH020951"
"map00920","Energy metabolism","Sulfur metabolism",9,"K00390","L1EGH020951"
"map00564","Lipid metabolism","Glycerophospholipid metabolism",2,"K01613,K17103","L1EGH020951"
"map00260","Amino acid metabolism","Glycine, serine and threonine metabolism",2,"K15633,K17103","L1EGH020951"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",15,"K00558,K05396,K17398","L1EGH020951"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1EGH020951"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EGH020951"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K12373","L1EGH020951"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EGH020951"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EGH020951"
"map00540","Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",1,"K03272","L1EGH020951"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EGH020951"
"map00740","Metabolism of cofactors and vitamins","Riboflavin metabolism",1,"K14654","L1EGH020951"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",1,"K06920","L1EGH020951"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",1,"K09882","L1EGH020951"
"map00130","Metabolism of cofactors and vitamins","Ubiquinone and other terpenoid-quinone biosynthesis",1,"K00568","L1EGH020951"
"map00920","Energy metabolism","Sulfur metabolism",14,"K00390","L1EHE1100144"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EHE1100144"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",23,"K00558,K00789,K05396,K17398","L1EHE1100144"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",3,"K06167","L1EHE1100144"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",5,"K04487","L1EHE1100144"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",6,"K00763,K00952,K01916,K08281","L1EHE1100144"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",9,"K00287,K01737,K03639,K06920,K10026","L1EHE1100144"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K00287","L1EHE1100144"
"map04122","Folding, sorting and degradation","Sulfur relay system",9,"K03639,K04487,K21029","L1EHE1100144"
"map00040","Carbohydrate metabolism","Pentose and glucuronate interconversions",1,"K00012","L1EHE1100145"
"map00053","Carbohydrate metabolism","Ascorbate and aldarate metabolism",1,"K00012","L1EHE1100145"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",1,"K00012","L1EHE1100145"
"map00910","Energy metabolism","Nitrogen metabolism",1,"K00262","L1EHE1100145"
"map00920","Energy metabolism","Sulfur metabolism",8,"K00390","L1EHE1100145"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",2,"K00262,K01953","L1EHE1100145"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",18,"K00558,K17398","L1EHE1100145"
"map00220","Amino acid metabolism","Arginine biosynthesis",1,"K00262","L1EHE1100145"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",2,"K04487","L1EHE1100145"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",2,"K01916,K03462","L1EHE1100145"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",1,"K00287","L1EHE1100145"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K00287","L1EHE1100145"
"map04122","Folding, sorting and degradation","Sulfur relay system",2,"K04487","L1EHE1100145"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01854","L1EHE1100146"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",1,"K01854","L1EHE1100146"
"map00620","Carbohydrate metabolism","Pyruvate metabolism",1,"K00656","L1EHE1100146"
"map00640","Carbohydrate metabolism","Propanoate metabolism",1,"K00656","L1EHE1100146"
"map00650","Carbohydrate metabolism","Butanoate metabolism",1,"K00656","L1EHE1100146"
"map00920","Energy metabolism","Sulfur metabolism",2,"K00390","L1EHE1100146"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EHE1100146"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",16,"K00558,K00789,K17398","L1EHE1100146"
"map00330","Amino acid metabolism","Arginine and proline metabolism",1,"K00657","L1EHE1100146"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",2,"K06167","L1EHE1100146"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",1,"K04487","L1EHE1100146"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",1,"K00952","L1EHE1100146"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",4,"K01495,K01737,K03639,K06920","L1EHE1100146"
"map04122","Folding, sorting and degradation","Sulfur relay system",4,"K03639,K04487,K21029","L1EHE1100146"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",2,"K01785,K03737","L1EHE1100147"
"map00020","Carbohydrate metabolism","Citrate cycle (TCA cycle)",1,"K03737","L1EHE1100147"
"map00051","Carbohydrate metabolism","Fructose and mannose metabolism",1,"K01711","L1EHE1100147"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01785","L1EHE1100147"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",1,"K01711","L1EHE1100147"
"map00620","Carbohydrate metabolism","Pyruvate metabolism",1,"K03737","L1EHE1100147"
"map00650","Carbohydrate metabolism","Butanoate metabolism",1,"K03737","L1EHE1100147"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K03737","L1EHE1100147"
"map00920","Energy metabolism","Sulfur metabolism",25,"K00390,K00640","L1EHE1100147"
"map00561","Lipid metabolism","Glycerolipid metabolism",1,"K01054","L1EHE1100147"
"map00230","Nucleotide metabolism","Purine metabolism",2,"K01939,K01951","L1EHE1100147"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01939","L1EHE1100147"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",37,"K00558,K00640,K00789,K05396,K12960,K17398","L1EHE1100147"
"map00300","Amino acid metabolism","Lysine biosynthesis",1,"K01586","L1EHE1100147"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",3,"K06167","L1EHE1100147"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",2,"K04487","L1EHE1100147"
"map00780","Metabolism of cofactors and vitamins","Biotin metabolism",1,"K03524","L1EHE1100147"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",1,"K22226","L1EHE1100147"
"map00983","Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes",1,"K01951","L1EHE1100147"
"map04122","Folding, sorting and degradation","Sulfur relay system",2,"K04487","L1EHE1100147"
"map00040","Carbohydrate metabolism","Pentose and glucuronate interconversions",1,"K01812","L1EHE1100148"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1EHE1100148"
"map00920","Energy metabolism","Sulfur metabolism",26,"K00390","L1EHE1100148"
"map00230","Nucleotide metabolism","Purine metabolism",1,"K01951","L1EHE1100148"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EHE1100148"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",27,"K00558,K00789,K05396,K17398","L1EHE1100148"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1EHE1100148"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",3,"K04487","L1EHE1100148"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",2,"K06211,K08281","L1EHE1100148"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",1,"K06920","L1EHE1100148"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K01491","L1EHE1100148"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",1,"K22227","L1EHE1100148"
"map00983","Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes",1,"K01951","L1EHE1100148"
"map04122","Folding, sorting and degradation","Sulfur relay system",4,"K04487,K21029","L1EHE1100148"
"map00500","Carbohydrate metabolism","Starch and sucrose metabolism",1,"K01208","L1EHE1100149"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",1,"K12373","L1EHE1100149"
"map00920","Energy metabolism","Sulfur metabolism",12,"K00390","L1EHE1100149"
"map00230","Nucleotide metabolism","Purine metabolism",1,"K01951","L1EHE1100149"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",14,"K00558,K17398","L1EHE1100149"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1EHE1100149"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EHE1100149"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K12373","L1EHE1100149"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EHE1100149"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EHE1100149"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EHE1100149"
"map00906","Metabolism of terpenoids and polyketides","Carotenoid biosynthesis",1,"K09835","L1EHE1100149"
"map00983","Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes",1,"K01951","L1EHE1100149"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1EHE1100150"
"map00920","Energy metabolism","Sulfur metabolism",10,"K00390","L1EHE1100150"
"map00061","Lipid metabolism","Fatty acid biosynthesis",1,"K00059","L1EHE1100150"
"map00230","Nucleotide metabolism","Purine metabolism",2,"K01951","L1EHE1100150"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EHE1100150"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",16,"K00558,K00789,K17398","L1EHE1100150"
"map00310","Amino acid metabolism","Lysine degradation",1,"K14157","L1EHE1100150"
"map00360","Amino acid metabolism","Phenylalanine metabolism",1,"K02612","L1EHE1100150"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1EHE1100150"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",1,"K04487","L1EHE1100150"
"map00780","Metabolism of cofactors and vitamins","Biotin metabolism",1,"K00059","L1EHE1100150"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",1,"K03639","L1EHE1100150"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K01491","L1EHE1100150"
"map00333","Biosynthesis of other secondary metabolites","Prodigiosin biosynthesis",1,"K00059","L1EHE1100150"
"map00983","Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes",2,"K01951","L1EHE1100150"
"map04122","Folding, sorting and degradation","Sulfur relay system",3,"K03639,K04487,K21029","L1EHE1100150"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",1,"K12373","L1EHE1100151"
"map00920","Energy metabolism","Sulfur metabolism",7,"K00390","L1EHE1100151"
"map00564","Lipid metabolism","Glycerophospholipid metabolism",2,"K01613,K17103","L1EHE1100151"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EHE1100151"
"map00260","Amino acid metabolism","Glycine, serine and threonine metabolism",1,"K17103","L1EHE1100151"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",11,"K00558,K12960,K17398","L1EHE1100151"
"map00330","Amino acid metabolism","Arginine and proline metabolism",1,"K00657","L1EHE1100151"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EHE1100151"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K12373","L1EHE1100151"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EHE1100151"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EHE1100151"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EHE1100151"
"map00130","Metabolism of cofactors and vitamins","Ubiquinone and other terpenoid-quinone biosynthesis",1,"K00568","L1EHE1100151"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",1,"K03737","L1EHE1100152"
"map00020","Carbohydrate metabolism","Citrate cycle (TCA cycle)",1,"K03737","L1EHE1100152"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",2,"K00820,K12452","L1EHE1100152"
"map00620","Carbohydrate metabolism","Pyruvate metabolism",1,"K03737","L1EHE1100152"
"map00650","Carbohydrate metabolism","Butanoate metabolism",1,"K03737","L1EHE1100152"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",3,"K01491,K03737","L1EHE1100152"
"map00920","Energy metabolism","Sulfur metabolism",16,"K00390","L1EHE1100152"
"map00230","Nucleotide metabolism","Purine metabolism",1,"K01939","L1EHE1100152"
"map00240","Nucleotide metabolism","Pyrimidine metabolism",1,"K17828","L1EHE1100152"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",3,"K00820,K01939,K01953","L1EHE1100152"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",14,"K00558,K17398","L1EHE1100152"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",2,"K06167","L1EHE1100152"
"map00550","Glycan biosynthesis and metabolism","Peptidoglycan biosynthesis",1,"K01000","L1EHE1100152"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",4,"K04487","L1EHE1100152"
"map00740","Metabolism of cofactors and vitamins","Riboflavin metabolism",2,"K19285,K21064","L1EHE1100152"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",2,"K03462,K08281","L1EHE1100152"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",2,"K01491","L1EHE1100152"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",4,"K09883,K22227","L1EHE1100152"
"map04122","Folding, sorting and degradation","Sulfur relay system",4,"K04487","L1EHE1100152"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",1,"K15633","L1EHE1100153"
"map00051","Carbohydrate metabolism","Fructose and mannose metabolism",1,"K00966","L1EHE1100153"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01784","L1EHE1100153"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",3,"K00966,K01784,K12452","L1EHE1100153"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",2,"K01491","L1EHE1100153"
"map00680","Energy metabolism","Methane metabolism",1,"K15633","L1EHE1100153"
"map00920","Energy metabolism","Sulfur metabolism",11,"K00390","L1EHE1100153"
"map00230","Nucleotide metabolism","Purine metabolism",2,"K01939","L1EHE1100153"
